"기간","과일","신선수산물","냉동수산물","어육","김","라면","나프타","휘발유","제트유","등유","경유","벙커C유","정제혼합용원료유","윤활유","아스팔트"
"1977.07",0,14.57,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.08",0,14.57,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.09",0,16.69,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.10",0,14.95,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.11",0,15.1,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.12",0,15.1,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.01",0,17.72,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.02",0,20.3,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.03",0,20.3,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.04",0,19.63,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.05",0,17.43,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.06",0,15.84,32.81,0,0,0,0,0,0,0,0,0,0,0,0
"1978.07",0,16.56,32.63,0,0,0,0,0,0,0,0,0,0,0,0
"1978.08",0,16.56,32.63,0,0,0,0,0,0,0,0,0,0,0,0
"1978.09",0,18.59,32.84,0,0,0,0,0,0,0,0,0,0,0,0
"1978.10",0,18.59,32.84,0,0,0,0,0,0,0,0,0,0,0,0
"1978.11",0,18.59,34.48,0,0,0,0,0,0,0,0,0,0,0,0
"1978.12",0,18.59,34.48,0,0,0,0,0,0,0,0,0,0,0,0
"1979.01",0,18.59,34.48,0,0,0,0,0,0,0,0,0,0,0,0
"1979.02",0,20.04,35.13,0,0,0,0,0,0,0,0,0,0,0,0
"1979.03",0,28.83,35.13,0,0,0,0,0,0,0,0,0,0,0,0
"1979.04",0,20.48,35.13,0,0,0,0,0,0,0,0,0,0,0,0
"1979.05",0,20.48,35.13,0,0,0,0,0,0,0,0,0,0,0,0
"1979.06",0,18.16,35.56,0,0,0,0,0,0,0,0,0,0,0,0
"1979.07",0,18.16,35.56,0,0,0,0,0,0,0,0,0,0,0,0
"1979.08",0,28,35.56,0,0,0,0,0,0,0,0,0,0,0,0
"1979.09",0,28,36.98,0,0,0,0,0,0,0,0,0,0,0,0
"1979.10",0,28,36.98,0,0,0,0,0,0,0,0,0,0,0,0
"1979.11",0,28,36.98,0,0,0,0,0,0,0,0,0,0,0,0
"1979.12",0,23.25,38.6,0,0,0,0,0,0,0,0,0,0,0,0
"1980.01",0,23.12,39.54,0,0,0,0,0,0,0,0,0,0,0,0
"1980.02",0,25.64,40.84,0,0,0,0,0,0,0,0,0,0,0,0
"1980.03",0,25.64,40.84,0,0,0,0,0,0,0,0,0,0,0,0
"1980.04",0,19.08,40.84,0,0,0,0,0,0,0,0,0,0,0,0
"1980.05",0,17.27,40.84,0,0,0,0,0,0,0,0,0,0,0,0
"1980.06",0,16.34,40.84,0,0,0,0,0,0,0,0,0,0,0,0
"1980.07",0,16.23,41.57,0,0,0,0,0,0,0,0,0,0,0,0
"1980.08",0,15.48,41.57,0,0,0,0,0,0,0,0,0,0,0,0
"1980.09",0,15.48,41.57,0,0,0,0,0,0,0,0,0,0,0,0
"1980.10",0,19.5,42.42,0,0,0,0,0,0,0,0,0,0,0,0
"1980.11",0,19.5,42.42,0,0,0,0,0,0,0,0,0,0,0,0
"1980.12",0,20.8,43.46,0,0,0,0,0,0,0,0,0,0,0,0
"1981.01",0,22.38,43.46,0,0,0,0,0,0,0,0,0,0,0,0
"1981.02",0,22.38,44.95,0,0,0,0,0,0,0,0,0,0,0,0
"1981.03",0,20.56,45.61,0,0,0,0,0,0,0,0,0,0,0,0
"1981.04",0,20.56,45.61,0,0,0,0,0,0,0,0,0,0,0,0
