"기간","농림수산품","농림수산품","농산물","채소및과실","과실","수산물","신선수산물","신선어류","냉동건조수산물","냉동수산물"
"1976.12",27.15,27.15,40.62,28.25,0,25.79,19.14,19.14,33.12,32.75
"1977.01",28.26,28.26,41.67,28.25,0,26.95,19.56,19.56,34.75,34.46
"1977.02",28.94,28.94,41.67,28.25,0,27.77,20.17,20.17,35.86,35.62
"1977.03",27.34,27.34,42.72,28.25,0,25.68,21.14,21.14,32.55,32.15
"1977.04",25.76,25.76,43.3,28.25,0,23.69,21.09,21.09,29.39,28.83
"1977.05",25.55,25.55,43.3,28.25,0,23.45,21.09,21.09,29.04,28.46
"1977.06",25.79,25.79,43.32,28.25,0,23.73,21.31,21.31,29.27,28.7
"1977.07",25.96,25.96,47.97,32.01,0,23.17,19.19,19.19,29.03,28.45
"1977.08",26.45,26.45,47.81,32.01,0,23.79,19.19,19.19,29.75,29.21
"1977.09",27.42,27.42,48.76,33.98,0,24.78,21.12,21.12,30.41,29.9
"1977.10",26.99,26.99,48.76,33.98,0,24.27,19.55,19.55,30.04,29.52
"1977.11",27.37,27.37,48.76,33.98,0,24.72,19.67,19.67,30.69,30.19
"1977.12",27.17,27.17,48.76,33.98,0,24.49,19.67,19.67,30.34,29.83
"1978.01",27.32,27.32,48.76,33.98,0,24.67,22.05,22.05,30.31,29.79
"1978.02",27.96,27.96,48.1,32.61,0,25.54,24.72,24.72,31.2,30.73
"1978.03",28.09,28.09,48.1,32.61,0,25.69,24.72,24.72,31.42,30.96
"1978.04",27.58,27.58,47.69,31.77,0,25.16,24.41,24.41,30.69,30.19
"1978.05",27.7,27.7,47.69,31.77,0,25.29,21.85,21.85,31.22,30.76
"1978.06",28.13,28.13,47.69,31.77,0,25.81,20.57,20.57,32.15,31.73
"1978.07",28.1,28.1,47.69,31.77,0,25.77,21.22,21.22,32.01,31.58
"1978.08",29.06,29.06,47.69,31.77,0,26.92,21.22,21.22,32.74,32.35
"1978.09",29.3,29.3,47.69,31.77,0,27.2,23.04,23.04,32.92,32.54
"1978.10",29.37,29.37,47.69,31.77,0,27.29,23.04,23.04,32.92,32.54
"1978.11",29.78,29.78,47.69,31.77,0,27.78,23.04,23.04,33.62,33.28
"1978.12",29.78,29.78,47.69,31.77,0,27.78,23.04,23.04,33.62,33.28
"1979.01",29.8,29.8,47.69,31.77,0,27.81,23.04,23.04,33.62,33.28
"1979.02",30.2,30.2,47.69,31.77,0,28.28,24.35,24.35,34.14,33.82
"1979.03",30.79,30.79,47.69,31.77,0,28.98,32.29,32.29,34.14,33.82
"1979.04",30.21,30.21,47.69,31.77,0,28.29,24.76,24.76,34.14,33.82
"1979.05",30.03,30.03,46.39,29.09,0,28.29,24.76,24.76,34.14,33.82
"1979.06",29.6,29.6,46.39,29.09,0,27.77,22.2,22.2,34.01,33.69
"1979.07",29.86,29.86,46.39,29.09,0,28.09,22.2,22.2,34.01,33.69
"1979.08",31.26,31.26,51.65,35.29,0,28.9,31.09,31.09,34.01,33.69
"1979.09",31.99,31.99,51.65,35.29,0,29.78,31.09,31.09,35.15,34.89
"1979.10",31.99,31.99,51.65,35.29,0,29.78,31.09,31.09,35.15,34.89
"1979.11",31.85,31.85,50.59,35.29,0,29.78,31.09,31.09,35.15,34.89
"1979.12",32.27,32.27,50.59,35.29,0,30.28,26.79,26.79,36.46,36.26
"1980.01",32.6,32.6,46.47,27.47,54.86,31.3,27.84,27.84,37.59,37.59
"1980.02",33.66,33.66,48.65,31.31,54.86,32.22,30.9,30.9,38.43,38.43
"1980.03",33.24,33.24,46.81,28.07,54.86,32.01,30.9,30.9,38.13,38.13
"1980.04",32.73,32.73,51.06,34.97,54.86,30.76,22.98,22.98,37.54,37.54
"1980.05",32.18,32.18,50.38,33.79,54.86,30.21,20.82,20.82,37.72,37.72
"1980.06",32.36,32.36,55.25,42.35,54.86,29.67,19.69,19.69,37.14,37.14
"1980.07",32.47,32.47,55.71,43.16,54.86,29.73,19.55,19.55,37.25,37.25
"1980.08",32.39,32.39,53.46,38.63,54.86,29.99,18.66,18.66,37.73,37.73
"1980.09",32.16,32.16,53.12,38.03,54.86,29.77,18.66,18.66,37.43,37.43
"1980.10",32.86,32.86,51.19,34.64,54.86,30.89,23.47,23.47,38.29,38.29
"1980.11",34.18,34.18,53.66,38.99,59.31,32.06,23.47,23.47,39.92,39.92
"1980.12",35.44,35.44,56.09,42.4,59.31,33.17,25.07,25.07,41.23,41.23
"1981.01",35.18,35.18,53.83,38.43,59.31,33.21,26.97,26.97,41.17,41.17
"1981.02",36,36,53.16,37.24,59.31,34.28,26.97,26.97,42.65,42.65
"1981.03",36.51,36.51,57.19,44.33,59.31,34.27,24.77,24.77,42.95,42.95
"1981.04",36.31,36.31,58.02,45.8,59.31,33.9,24.77,24.77,42.44,42.44
"1981.05",35.91,35.91,57.69,45.22,59.31,33.48,18.56,18.56,42.76,42.76
"1981.06",35.77,35.77,58.7,46.99,59.31,33.16,18.56,18.56,42.31,42.31
"1981.07",35.86,35.86,59.13,47.76,59.31,33.2,18.56,18.56,42.37,42.37
"1981.08",35.34,35.34,53.4,37.66,59.31,33.47,18.56,18.56,42.74,42.74
"1981.09",35.01,35.01,54.42,39.45,43.02,32.93,20.63,20.63,42.03,42.03
"1981.10",35.35,35.35,54.08,38.85,43.02,33.38,25,25,42.03,42.03
"1981.11",35.97,35.97,54.08,38.85,43.02,34.11,26.36,26.36,42.85,42.85
"1981.12",35.31,35.31,54.08,38.85,43.02,33.33,20.79,20.79,42.57,42.57
"1982.01",35.71,35.71,57.87,38.85,43.02,33.22,20.79,20.79,42.41,42.41
"1982.02",35.45,35.45,57.87,38.85,43.02,32.91,18.4,18.4,42.33,42.33
"1982.03",35.6,35.6,57.87,38.85,43.02,33.09,18.4,18.4,42.58,42.58
"1982.04",35.15,35.15,57.87,38.85,43.02,32.55,16.45,16.45,42.12,42.12
"1982.05",34.62,34.62,57.87,38.85,43.02,31.93,16.45,16.45,41.25,41.25
"1982.06",34.46,34.46,57.87,38.85,43.02,31.74,16.45,16.45,40.99,40.99
"1982.07",34.53,34.53,57.87,38.85,43.02,31.82,16.45,16.45,41.1,41.1
"1982.08",34.96,34.96,57.87,38.85,43.02,32.33,16.45,16.45,41.63,41.63
"1982.09",34.92,34.92,57.36,37.94,39.74,32.36,16.45,16.45,41.65,41.65
"1982.10",35.53,35.53,57.87,38.85,43.02,33.01,16.45,16.45,42.54,42.54
"1982.11",32.72,32.72,57.87,38.85,43.02,29.68,16.45,16.45,37.93,37.93
"1982.12",32.6,32.6,57.87,38.85,43.02,29.55,16.45,16.45,37.74,37.74
"1983.01",32.99,32.99,60.87,38.85,43.02,29.55,16.45,16.45,37.74,37.74
"1983.02",31.92,31.92,60.87,38.85,43.02,28.28,16.45,16.45,35.99,35.99
"1983.03",31.98,31.98,60.87,38.85,43.02,28.36,16.45,16.45,35.99,35.99
"1983.04",32.47,32.47,60.65,38.85,43.02,28.97,16.45,16.45,36.84,36.84
"1983.05",31.76,31.76,60.47,38.85,43.02,28.15,16.45,16.45,35.7,35.7
"1983.06",31.62,31.62,60.47,38.85,43.02,28,16.45,16.45,35.48,35.48
"1983.07",31.6,31.6,60.47,38.85,43.02,27.97,16.45,16.45,35.52,35.52
"1983.08",31.66,31.66,60.47,38.85,43.02,28.04,16.45,16.45,35.63,35.63
"1983.09",31.46,31.46,60.39,38.85,43.02,27.81,16.45,16.45,35.38,35.38
"1983.10",31.36,31.36,60.39,38.85,43.02,27.7,16.45,16.45,35.22,35.22
"1983.11",31.4,31.4,60.39,38.85,43.02,27.75,17.27,17.27,35.18,35.18
"1983.12",31.25,31.25,59.85,37.89,43.02,27.65,17.08,17.08,35.06,35.06
"1984.01",30.94,30.94,59.3,36.94,43.02,27.38,17.08,17.08,34.68,34.68
"1984.02",32.31,32.31,60.79,36.94,43.02,28.75,22.46,22.46,35.82,35.82
"1984.03",32.54,32.54,60.4,36.25,43.02,29.09,22.75,22.75,36.24,36.24
"1984.04",33.5,33.5,60.7,36.25,43.02,30.18,24.32,24.32,37.52,37.52
"1984.05",33.42,33.42,58.91,36.25,43.02,30.36,25.61,25.61,37.59,37.59
"1984.06",33.27,33.27,58.54,35.5,43.02,30.23,26.69,26.69,37.26,37.26
"1984.07",33.16,33.16,59.23,37.02,43.02,30,23.9,23.9,37.34,37.34
"1984.08",33.84,33.84,58.03,34.92,43.02,30.99,23.1,23.1,38.83,38.83
"1984.09",34.62,34.62,60.58,39.41,43.02,31.51,28.88,28.88,38.59,38.59
"1984.10",34.92,34.92,58.96,36.48,43.02,32.12,37.6,37.6,38.17,38.17
"1984.11",34.7,34.7,58.96,36.48,43.02,31.86,34.99,34.99,38.2,38.2
"1984.12",34.54,34.54,60.4,39.08,43.02,31.44,30.33,30.33,38.29,38.29
"1985.01",34.72,34.72,60.3,38.96,43,31.66,28.66,28.66,38.38,38.38
"1985.02",34.27,34.27,58.16,38.1,43,31.49,28.66,28.66,38.04,38.04
"1985.03",33.35,33.35,57.13,36.7,43,30.55,26.31,26.31,37.43,37.43
"1985.04",33.57,33.57,57.03,37.64,43,30.83,26.82,26.82,37.71,37.71
"1985.05",33.4,33.4,57.03,37.64,43,30.63,25.84,25.84,37.79,37.79
"1985.06",33.28,33.28,57.03,37.64,43,30.49,25.49,25.49,37.71,37.71
"1985.07",33.31,33.31,57.19,37.86,43,30.49,25.08,25.08,37.91,37.91
"1985.08",33.62,33.62,56.9,37.64,43,30.92,25.08,25.08,38.14,38.14
"1985.09",33.14,33.14,57.07,37.87,41.72,30.3,24.03,24.03,38.15,38.15
"1985.10",32.75,32.75,56.33,35.92,41.72,29.97,23.51,23.51,37.76,37.76
"1985.11",32.61,32.61,56.33,35.92,41.72,29.79,23.95,23.95,37.21,37.21
"1985.12",32.13,32.13,56.33,35.92,41.72,29.21,23.95,23.95,36.1,36.1
"1986.01",34.72,34.72,60.3,38.96,43,31.66,28.66,28.66,38.38,38.38
"1986.02",32.39,32.39,56.33,35.92,41.72,29.52,21.34,21.34,37.98,37.98
"1986.03",32.6,32.6,55.84,35.92,41.72,29.86,20.8,20.8,38.9,38.9
"1986.04",32.85,32.85,55.84,35.92,41.72,30.17,20.8,20.8,39.48,39.48
"1986.05",33.11,33.11,55.84,35.92,41.72,30.48,23.44,23.44,38.38,38.38
"1986.06",32.19,32.19,57.98,38.83,41.72,29,23.56,23.56,35.48,35.48
"1986.07",32.57,32.57,57.91,38.74,41.72,29.47,23.56,23.56,36.26,36.26
"1986.08",33.92,33.92,57.97,38.74,41.72,31.1,24.56,24.56,37.16,37.16
"1986.09",34.47,34.47,59.5,40.8,44.96,31.5,24.56,24.56,37.93,37.93
"1986.10",37.39,37.39,71.37,56.9,47.56,32.99,32.27,32.27,36.96,36.96
"1986.11",39.27,39.27,74.53,61.18,47.56,34.71,34.78,34.78,39.01,39.01
"1986.12",40.69,40.69,74.62,61.18,47.56,36.42,37.14,37.14,41.1,41.1
"1987.01",39.51,39.51,74.62,61.18,47.56,35,32.61,32.61,40.63,40.63
"1987.02",39.97,39.97,74.62,61.18,47.56,35.55,35.99,35.99,40.01,40.01
"1987.03",39.88,39.88,74.62,61.18,47.56,35.44,35.27,35.27,40.16,40.16
"1987.04",40.67,40.67,73.49,59.65,47.56,36.6,35.09,35.09,42.45,42.45
"1987.05",42.38,42.38,76.55,63.47,47.56,38.14,40.21,40.21,43.42,43.42
"1987.06",42.82,42.82,76.55,63.47,47.56,38.67,44.18,44.18,42.47,42.47
"1987.07",43.64,43.64,74.49,60.67,47.56,40.02,41.55,41.55,46.35,46.35
"1987.08",45.58,45.58,83.82,73.68,47.56,40.76,42.72,42.72,47.17,47.17
"1987.09",41.22,41.22,69.64,54.45,47.56,37.92,33.5,33.5,46.32,46.32
"1987.10",43.01,43.01,76.19,62.73,63.86,38.97,33.5,33.5,48.32,48.32
"1987.11",45.67,45.67,76.19,62.73,63.86,42.19,41.72,41.72,50.4,50.4
"1987.12",45.88,45.88,76.19,62.73,63.86,42.45,41.72,41.72,50.89,50.89
"1988.01",45.68,45.68,76.25,62.73,63.86,42.19,41.72,41.72,50.4,50.4
"1988.02",45.52,45.52,76.25,62.73,63.86,42,41.72,41.72,50.03,50.03
"1988.03",48.32,48.32,76.67,62.66,66.46,45.32,45.95,45.95,54.29,54.29
"1988.04",48.77,48.77,74.97,63.12,66.46,46.16,46.59,46.59,55.56,55.56
"1988.05",48.51,48.51,74.15,61.97,66.46,45.99,46.05,46.05,55.31,55.31
"1988.06",46.37,46.37,74.96,63.59,66.46,43.24,43.18,43.18,51.49,51.49
"1988.07",45.63,45.63,75.19,63.12,66.46,42.31,43.98,43.98,48.92,48.92
"1988.08",47.04,47.04,73.19,60.38,66.46,44.37,43.65,43.65,53.01,53.01
"1988.09",47.22,47.22,72.85,60.81,66.46,44.65,49.56,49.56,50.61,50.61
"1988.10",48.04,48.04,77.12,66.59,66.46,44.9,53.43,53.43,49.19,49.19
"1988.11",51.27,51.27,76.42,65.8,66.46,48.93,63.57,63.57,51.87,51.87
"1988.12",53.63,53.63,77.09,66.71,66.46,51.68,65.34,65.34,56.24,56.24
"1989.01",55.67,55.67,77.33,67.02,62.54,54.11,68.23,68.23,59.44,59.44
"1989.02",55.95,55.95,77.33,67.02,62.54,54.45,66.44,66.44,60.96,60.96
"1989.03",55.27,55.27,77.33,67.02,62.54,53.63,66.52,66.52,59.36,59.36
"1989.04",56.21,56.21,78.93,67.02,62.54,54.48,66.52,66.52,61,61
"1989.05",54.29,54.29,69.88,63.82,62.54,53.72,63.98,63.98,60.8,60.8
"1989.06",55.17,55.17,71.11,65.48,62.54,54.58,62.8,62.8,63.01,63.01
"1989.07",55.58,55.58,75.47,61.65,62.54,54.32,64.42,64.42,61.73,61.73
"1989.08",53.31,53.31,75.22,62.56,62.54,51.61,69.62,69.62,56.13,56.13
"1989.09",50.72,50.72,71.43,57.85,65.18,49.13,64.73,64.73,54.89,54.89
"1989.10",52.76,52.76,79.31,68.69,65.18,50.24,65.44,65.44,56.66,56.66
"1989.11",51.61,51.61,79.31,68.69,65.18,48.85,60.06,60.06,56.66,56.66
"1989.12",55.35,55.35,79.33,68.69,65.18,53.38,66.95,66.95,61.9,61.9
"1990.01",58.31,58.31,80.98,70.77,65.18,57,79.24,79.24,61.65,61.65
"1990.02",59.08,59.08,80.98,70.77,65.18,58,73.6,73.6,64.78,64.78
"1990.03",56.19,56.19,80.98,70.77,65.18,54.27,66.66,66.66,61.25,61.25
"1990.04",53.27,53.27,86.03,68.42,65.18,49.37,65.49,65.49,54.31,54.31
"1990.05",52.15,52.15,83.6,71.78,65.18,48.47,66.32,66.32,52.74,52.74
"1990.06",52.24,52.24,81.05,71.78,65.18,49.16,66.32,66.32,53.77,53.77
"1990.07",52.7,52.7,81.32,71.78,65.18,49.7,64.05,64.05,55.22,55.22
"1990.08",53.56,53.56,79.69,69.79,65.18,51.17,65.36,65.36,57.03,57.03
"1990.09",52.82,52.82,81.14,69.37,70.4,49.89,65.42,65.42,55.11,55.11
"1990.10",53.9,53.9,81.14,69.37,70.4,51.28,69.96,69.96,55.86,55.86
"1990.11",54.35,54.35,81.14,69.37,70.4,51.86,70.79,70.79,56.48,56.48
"1990.12",54.39,54.39,78.26,65.83,70.4,52.55,71.61,71.61,57.27,57.27
"1991.01",55.17,55.17,78.52,66.15,70.4,53.5,71.61,71.61,58.68,58.68
"1991.02",54.86,54.86,78.52,66.15,70.4,53.11,73.81,73.81,57.45,57.45
"1991.03",53.87,53.87,78.52,66.15,70.4,51.82,73.81,73.81,55.55,55.55
"1991.04",54.02,54.02,78.41,65.83,70.4,52.05,73.81,73.81,55.89,55.89
"1991.05",53.6,53.6,76.09,64.33,70.4,52.03,73.81,73.81,55.85,55.85
"1991.06",53.63,53.63,75.26,64.33,70.4,52.25,75.6,75.6,55.67,55.67
"1991.07",55.68,55.68,76.88,66.08,70.4,54.53,75.6,75.6,59.05,59.05
"1991.08",57.39,57.39,76.88,66.08,70.4,56.73,84.8,84.8,59.64,59.64
"1991.09",61.44,61.44,95.98,89.48,77.56,57.67,84.8,84.8,61.04,61.04
"1991.10",63.85,63.85,96.26,89.83,77.56,60.71,84.8,84.8,65.55,65.55
"1991.11",64.51,64.51,96.26,89.83,77.56,61.57,84.8,84.8,66.83,66.83
"1991.12",67.84,67.84,96.26,89.83,77.56,65.85,84.8,84.8,73.19,73.19
"1992.01",64.3,64.3,95.12,88.43,77.56,61.55,74.02,74.02,69.95,69.95
"1992.02",63.8,63.8,95.12,88.43,77.56,60.9,74.02,74.02,68.98,68.98
"1992.03",63.72,63.72,95.12,88.43,77.56,60.81,74.02,74.02,68.84,68.84
"1992.04",61.61,61.61,93.47,86.4,77.56,58.46,68.31,68.31,67,67
"1992.05",61.83,61.83,95.32,88.68,77.56,58.32,66.66,66.66,67.28,67.28
"1992.06",60.41,60.41,95.26,88.61,77.56,56.5,67.69,67.69,64.27,64.27
"1992.07",61.54,61.54,95.26,88.61,77.56,57.95,67.69,67.69,66.44,66.44
"1992.08",62.37,62.37,95.98,89.48,77.56,58.86,72.78,72.78,66.31,66.31
"1992.09",64.13,64.13,100.26,94.73,78.89,60.18,72.78,72.78,68.26,68.26
"1992.10",63.89,63.89,93.27,86.16,78.89,61.44,72.78,72.78,70.13,70.13
"1992.11",64.88,64.88,89.98,82.13,78.89,63.45,72.78,72.78,73.12,73.12
"1992.12",70.75,70.75,89.61,81.68,78.89,71.11,78.55,78.55,82.82,82.82
"1993.01",69.53,69.53,89.61,81.68,78.89,69.53,78.21,78.21,80.58,80.58
"1993.02",70.85,70.85,88.36,80.14,78.89,71.51,84.32,84.32,81.75,81.75
"1993.03",71.78,71.78,88.27,80.04,78.89,72.73,84.32,84.32,83.56,83.56
"1993.04",72.88,72.88,88.44,80.25,78.89,74.11,78.62,78.62,87.26,87.26
"1993.05",73.26,73.26,87.99,79.69,78.89,74.7,77.38,77.38,88.5,88.5
"1993.06",73.41,73.41,89.07,81.02,78.89,74.66,74.84,74.84,89.18,89.18
"1993.07",73.38,73.38,89.07,81.02,78.89,74.61,74.84,74.84,89.1,89.1
"1993.08",71.71,71.71,89.07,81.02,78.89,72.46,72.64,72.64,86.55,86.55
