"±â°£","½Ò","¹Ð","¿Á¼ö¼ö","Äá","°úÀÏ","¼è°í±â","µÅÁö°í±â","´ß°í±â","½Å¼±¼ö»ê¹°","³Ãµ¿¼ö»ê¹°","¿øÀ¯","Ä¡Áî","¾îÀ°"
"1977.05",0,56.24,48.44,92.24,0,0,0,0,0,0,23.3,0,0
"1977.06",0,56.24,47.15,92.24,0,0,0,0,0,0,23.3,0,0
"1977.07",0,49.98,47.15,80.56,0,0,0,0,0,0,25.04,0,0
"1977.08",0,49.98,47.15,80.56,0,0,0,0,0,0,25.04,0,0
"1977.09",0,49.98,38.39,51.03,0,0,0,0,0,0,25.04,0,0
"1977.10",0,43.14,38.39,49.73,0,0,0,0,0,0,25.04,0,0
"1977.11",0,43.14,41.68,49.73,0,0,0,0,0,0,25.04,0,0
"1977.12",0,45.61,48.64,55.31,0,0,0,0,0,0,25.04,0,0
"1978.01",0,48.08,48.64,55.31,0,0,0,0,0,0,25.04,0,0
"1978.02",0,50.89,48.64,53.49,0,0,0,0,0,0,25.04,0,0
"1978.03",0,51.17,48.64,53.49,0,0,0,0,0,0,25.04,0,0
"1978.04",0,55.33,48.64,53.49,0,0,0,0,0,0,25.04,0,0
"1978.05",0,55.33,54.46,53.49,0,0,0,0,0,0,25.04,0,0
"1978.06",0,55.33,54.46,53.49,0,0,0,0,0,0,25.01,0,0
"1978.07",0,55.82,52.04,64.88,0,0,0,0,0,0,25.01,0,0
"1978.08",0,54.33,45.84,57.43,0,0,0,0,0,0,25.01,0,0
"1978.09",0,54.33,45.84,59.48,0,0,0,0,0,0,25.01,0,0
"1978.10",0,56.87,46.4,63.71,0,0,0,0,0,0,25.01,0,0
"1978.11",0,58,50.8,62.3,0,0,0,0,0,0,25.01,0,0
"1978.12",0,58,49.44,63.3,0,0,0,0,0,0,25.01,0,0
"1979.01",0,58.49,52.6,63.3,0,0,0,0,0,0,26.22,0,0
"1979.02",0,58.49,52.6,66.05,0,0,0,0,0,0,26.36,0,0
"1979.03",0,58.49,52.6,70.29,0,0,0,0,0,0,26.36,0,0
"1979.04",0,58.49,52.6,70.29,0,0,0,0,0,0,30.16,0,0
"1979.05",0,59.76,55.89,70.29,0,0,0,0,0,0,30.16,0,0
"1979.06",0,64.55,55.89,70.29,0,0,0,0,0,0,30.83,0,0
"1979.07",0,76.23,70.35,73.69,0,0,0,0,0,0,37.54,0,0
"1979.08",0,73.35,62.22,73.69,0,0,0,0,0,0,37.54,0,0
"1979.09",0,69.05,62.22,73.69,0,0,0,0,0,0,37.54,0,0
"1979.10",0,69.05,62.22,73.69,0,0,0,0,0,0,39.28,0,0
"1979.11",0,69.05,65.57,67.88,0,0,0,0,0,0,49.41,0,0
"1979.12",0,71.16,65.57,67.88,0,0,0,0,0,0,50.27,0,0
"1980.01",0,72.47,63.27,63.58,0,0,0,0,0,29.09,53.81,0,0
"1980.02",0,72.47,63.27,63.58,0,0,0,0,0,29.09,54.6,0,0
"1980.03",0,70.12,63.8,65.68,0,0,0,0,0,29.09,54.6,0,0
"1980.04",0,70.12,58.41,62.67,0,0,0,0,0,28.98,59.68,0,0
"1980.05",0,68,58.9,62.67,0,0,0,0,0,30,60.9,0,0
"1980.06",0,68,61.88,61.97,0,0,0,0,0,28.03,60.9,0,0
"1980.07",0,72.54,66.39,66.03,0,0,0,0,0,36.68,61.51,0,0
"1980.08",0,72.69,74.59,72.74,0,0,0,0,0,36.68,63.78,0,0
"1980.09",0,76.43,74.33,76.1,0,0,0,0,0,36.68,63.78,0,0
"1980.10",0,78.33,72.84,79.45,0,0,0,0,0,36.68,63.78,0,0
"1980.11",0,82.36,81.45,82.46,0,0,0,0,0,36.68,67.73,0,0
"1980.12",0,75.7,81.39,82.46,0,0,0,0,0,36.68,67.73,0,0
"1981.01",0,75.7,81.39,82.46,0,0,0,0,0,36.68,70.3,0,0
"1981.02",0,75.7,81.39,82.46,0,0,0,0,0,36.68,70.3,0,0
"1981.03",0,75.7,74.56,82.46,0,0,0,0,0,36.68,70.3,0,0
"1981.04",0,75.7,76.02,75.46,0,0,0,0,0,34.05,70.3,0,0
"1981.05",0,75.7,72.33,74.98,0,0,0,0,0,34.05,70.3,0,0
"1981.06",0,70.2,68.27,74.98,0,0,0,0,0,34.05,69.81,0,0
"1981.07",0,62.8,69.23,72.74,0,0,0,0,0,34.05,68.16,0,0
"1981.08",0,66.02,68.44,72.74,0,0,0,0,0,33.35,68.16,0,0
"1981.09",0,66.02,61.89,72.74,0,0,0,0,0,33.68,68.16,0,0
"1981.10",0,66.02,60.92,66.8,0,0,0,0,0,32.67,68.16,0,0
"1981.11",0,65.57,57.13,63.93,0,0,0,0,0,32.67,68.16,0,0
"1981.12",0,61.91,56.68,63.93,0,0,0,0,0,32.67,68.16,0,0
"1982.01",0,64.62,56.68,66.8,0,0,0,0,0,32.67,67.63,0,0
"1982.02",0,63.75,56.68,66.8,0,0,0,0,0,32.67,67.26,0,0
"1982.03",0,62.72,56.68,66.8,0,0,0,0,0,32.67,66.76,0,0
"1982.04",0,64.99,57.62,62.6,0,0,0,0,0,32.67,66.76,0,0
"1982.05",0,64.99,57.62,62.6,0,0,0,0,0,32.67,66.76,0,0
"1982.06",0,63.39,57.06,60.92,0,0,0,0,0,32.67,66.76,0,0
"1982.07",0,63.39,55.29,58.96,0,0,0,0,0,32.67,65.47,0,0
"1982.08",0,59.79,54.05,56.65,0,0,0,0,0,32.67,65.3,0,0
"1982.09",0,63.17,51.62,56.65,0,0,0,0,0,32.67,65.3,0,0
"1982.10",0,63.17,51.62,52.95,0,0,0,0,0,32.67,65.3,0,0
"1982.11",0,63.17,51.87,54.27,0,0,0,0,0,32.67,65.12,0,0
"1982.12",0,64.48,50.61,54.27,0,0,0,0,0,32.67,65.12,0,0
"1983.01",0,64.48,51.44,54.27,0,0,0,0,0,32.67,65.12,0,0
"1983.02",0,64.48,54.68,56.52,0,0,0,0,0,32.67,65.05,0,0
"1983.03",0,65.29,55.43,56.52,0,0,0,0,0,32.67,62.3,0,0
"1983.04",0,66.1,67.43,59.1,0,0,0,0,0,34.64,56.02,0,0
"1983.05",0,66.1,67.95,60.43,0,0,0,0,0,34.64,56.06,0,0
"1983.06",0,63.09,66.64,60.43,0,0,0,0,0,34.64,56.06,0,0
"1983.07",0,61.77,69.97,60.43,0,0,0,0,0,34.64,56.14,0,0
"1983.08",0,61.77,72.64,62.67,0,0,0,0,0,34.64,56.2,0,0
"1983.09",0,62.8,76.48,74.98,0,0,0,0,0,34.64,56.2,0,0
"1983.10",0,62.8,76.48,77.21,0,0,0,0,0,34.64,56.14,0,0
"1983.11",0,61.99,76.48,74.28,0,0,0,0,0,34.64,56.14,0,0
"1983.12",0,59.94,74.33,74.14,0,0,0,0,0,34.64,56.14,0,0
"1984.01",0,60.23,72.41,79.04,0,0,0,0,0,34.64,56.14,0,0
"1984.02",0,58.77,70.48,70.92,0,0,0,0,0,36.15,56.06,0,0
"1984.03",0,61.12,72.53,71.9,0,0,0,0,0,35.47,56.06,0,0
"1984.04",0,61.12,75.35,70.85,0,0,0,0,0,35.17,56.06,0,0
"1984.05",0,62.21,73.35,70.85,0,0,0,0,0,35.17,56.2,0,0
"1984.06",0,62.8,71.48,74.91,0,0,0,0,0,35.17,56.2,0,0
"1984.07",0,59.28,71.25,74.91,0,0,0,0,0,35.17,56.31,0,0
"1984.08",0,59.28,70.29,68.82,0,0,0,0,0,35.17,56.31,0,0
"1984.09",0,59.21,70.29,64,0,0,0,0,0,35.17,56.31,0,0
"1984.10",0,59.64,65.1,60.43,0,0,0,0,0,35.17,56.31,0,0
"1984.11",0,59.79,61.96,57.21,0,0,0,0,0,35.17,56.31,0,0
"1984.12",0,58.69,61.76,56.3,0,0,0,0,0,35.17,56.31,0,0
"1985.01",0,61.55,61.01,55.09,0,0,0,0,0,35.04,56.34,0,0
"1985.02",0,58.71,61.65,56.66,0,0,0,0,0,34.72,56.23,0,0
"1985.03",0,59.62,61.65,56.66,0,0,0,0,0,34.72,56.11,0,0
"1985.04",0,59.5,62.41,59.65,0,0,0,0,0,34.72,56.11,0,0
"1985.05",0,58.37,62.41,56.44,0,0,0,0,0,34.84,56.11,0,0
"1985.06",0,57.06,62.41,55.51,0,0,0,0,0,34.84,56.11,0,0
"1985.07",0,55.07,61.95,55.51,0,0,0,0,0,34.84,56.05,0,0
"1985.08",0,53.94,59.38,53.18,0,0,0,0,0,34.84,55.82,0,0
"1985.09",0,52.46,50.48,52.09,0,0,0,0,0,34.84,55.82,0,0
"1985.10",0,54.17,50.53,49.81,0,0,0,0,0,34.84,55.82,0,0
"1985.11",0,56.72,50.99,50.03,0,0,0,0,0,35.67,55.77,0,0
"1985.12",0,57.69,54.14,51.28,0,0,0,0,0,35.74,55.77,0,0
"1986.01",0,57.92,55.02,52.32,0,0,0,0,0,35.22,55.05,0,0
"1986.02",0,54.44,53.56,52.04,0,0,0,0,0,35.22,48.16,0,0
"1986.03",0,54.44,50.41,51.28,0,0,0,0,0,36.55,35.17,0,0
"1986.04",0,57.86,49.94,51.06,0,0,0,0,0,38.58,28.56,0,0
"1986.05",0,50.87,49.94,51.06,0,0,0,0,0,39.73,27.84,0,0
"1986.06",0,45.98,48.55,50.46,0,0,0,0,0,39.73,26.25,0,0
"1986.07",0,41.49,41.16,49.27,0,0,0,0,0,39.73,21.96,0,0
"1986.08",0,42.06,38.13,49.27,0,0,0,0,0,39.91,18.6,0,0
"1986.09",0,42.17,34.64,47.21,0,0,0,0,0,39.91,24.13,0,0
"1986.10",0,42.51,34.4,46.78,0,0,0,0,0,39.91,26.31,0,0
"1986.11",0,44.67,37.55,46.78,0,0,0,0,0,39.91,26.38,0,0
"1986.12",0,44.45,39.29,46.66,0,0,0,0,0,39.91,26.82,0,0
"1987.01",0,44.55,38.01,46.5,0,0,0,0,0,39.91,29.01,0,0
"1987.02",0,44.74,37.14,46.39,0,0,0,0,0,39.91,35.11,0,0
"1987.03",0,45.36,37.14,46.39,0,0,0,0,0,39.91,35.11,0,0
"1987.04",0,45.36,40.57,46.39,0,0,0,0,0,39.91,34.83,0,0
"1987.05",0,48.48,45.65,48.35,0,0,0,0,0,39.91,34.83,0,0
"1987.06",0,45.93,45.65,51.5,0,0,0,0,0,39.91,35.06,0,0
"1987.07",0,45.75,41.27,51.5,0,0,0,0,0,40.43,35.21,0,0
"1987.08",0,42.91,40.47,51.28,0,0,0,0,0,40.82,35.17,0,0
"1987.09",0,45.64,44.48,51.77,0,0,0,0,0,48.72,35.28,0,0
"1987.10",0,47.69,44.48,51.77,0,0,0,0,0,48.72,35.44,0,0
"1987.11",0,47.69,46.52,52.04,0,0,0,0,0,48.72,35.32,0,0
"1987.12",0,48.42,46.17,52.04,0,0,0,0,0,48.72,34.21,0,0
"1988.01",0,48.42,50.48,54.33,0,0,0,0,0,48.72,34.04,0,0
"1988.02",0,50.36,55.43,56.55,0,0,0,0,0,48.72,32.7,0,0
"1988.03",0,50.75,55.88,56.77,0,0,0,0,0,49.42,31.98,0,0
"1988.04",0,49.33,55.43,61,0,0,0,0,0,53.89,30.75,0,0
"1988.05",0,49.96,53.2,62.69,0,0,0,0,0,53.89,31.3,0,0
"1988.06",0,60.47,62.76,79.47,0,0,0,0,0,53.89,31.58,0,0
"1988.07",0,63.09,74.06,81.16,0,0,0,0,0,53.89,30.75,0,0
"1988.08",0,63.77,67.07,78.93,0,0,0,0,0,53.89,29.12,0,0
"1988.09",0,63.71,65.31,78.34,0,0,0,0,0,53.89,29.12,0,0
"1988.10",0,66.84,67.29,78.49,0,0,0,0,0,53.89,23.57,0,0
"1988.11",0,67.63,63.92,76.54,0,0,0,0,0,53.89,22,0,0
"1988.12",0,68.26,67.47,76.54,0,0,0,0,0,53.89,24.13,0,0
"1989.01",0,69.29,67.93,75.02,0,0,0,0,0,53.89,26.48,0,0
"1989.02",0,69.85,66.01,73.06,0,0,0,0,0,53.89,30.96,0,0
"1989.03",0,70.13,67.93,73.77,0,0,0,0,0,53.89,31.75,0,0
"1989.04",0,68.37,66.07,71.43,0,0,0,0,0,53.89,32.92,0,0
"1989.05",0,68.43,68.06,73.34,0,0,0,0,0,53.89,35.61,0,0
"1989.06",0,68.21,63.98,71.75,0,0,0,0,0,53.89,35.61,0,0
"1989.07",0,65.25,59.61,69.86,0,0,0,0,0,53.89,34.83,0,0
"1989.08",0,66.67,59.15,67.14,0,0,0,0,0,53.89,33.83,0,0
"1989.09",0,65.88,58.45,63.55,0,0,0,0,0,53.89,33.2,0,0
"1989.10",0,66.32,61.65,57.75,0,0,0,0,0,53.89,33.43,0,0
"1989.11",0,66.67,63.16,59.54,0,0,0,0,0,53.89,34.83,0,0
"1989.12",0,66.55,63.16,59.54,0,0,0,0,0,53.89,35.06,0,0
"1990.01",0,65.57,62.22,58.41,50,84.02,0,0,0,53.89,36.29,0,18.95
"1990.02",0,61.41,62.22,56.86,50,84.1,0,0,0,53.89,37.68,0,18.95
"1990.03",0,58.78,63.13,57.95,50,85.75,0,0,0,53.89,36.37,0,18.95
"1990.04",0,58.83,65.38,59.47,50,87.15,0,0,0,53.89,34.61,0,18.95
"1990.05",0,57.06,65.87,60.22,50,86.8,0,0,0,53.89,32.67,0,18.95
"1990.06",0,54.33,66.84,58.65,50,85.84,0,0,0,53.89,30.64,0,18.95
"1990.07",0,50.58,60.32,56.62,50,87.15,0,0,0,53.89,28.79,0,18.95
"1990.08",0,49.68,59.42,60.22,50,88.2,0,0,0,53.89,30.61,0,18.95
"1990.09",0,48.5,54.24,58.19,50,89.23,0,0,0,53.89,48.96,0,18.95
"1990.10",0,45.4,56.37,57.55,50,90.03,0,0,0,53.89,62.01,0,18.95
"1990.11",0,46.04,55.65,55.29,50,90.37,0,0,0,53.89,67.07,0,19.99
"1990.12",0,46.25,59.11,55.98,50,86.01,0,0,0,53.89,59.48,0,19.99
