지출목적별 12개 대분류,대표품목,가중치
13 의류 및 신발,원피스,2.1
14 의류 및 신발,여자상의,2.1
15 의류 및 신발,여자학생복,0.4
16 의류 및 신발,여자하의,3.2
17 의류 및 신발,여자내의,2
19 의류 및 신발,점퍼,6.7
20 의류 및 신발,티셔츠,3.4
21 의류 및 신발,스웨터,0.9
22 의류 및 신발,청바지,1.8
23 의류 및 신발,운동복,2.3
24 의류 및 신발,등산복,1
26 의류 및 신발,아동복,4.1
27 의류 및 신발,유아복,1.1
29 의류 및 신발,양말,1.1
30 의류 및 신발,모자,0.5
31 의류 및 신발,넥타이,0.1
32 의류 및 신발,장갑,0.2
34 의류 및 신발,의복수선료,0.3
35 의류 및 신발,세탁료,1.2
36 의류 및 신발,의복대여료,0.3
39 의류 및 신발,아동화,1
40 의류 및 신발,구두,3.3
41 의류 및 신발,운동화,3.9
42 의류 및 신발,실내화,0.1
04 주택 ·수도 · 전기 및 연료,전세,48.9
04 주택 ·수도 · 전기 및 연료,월세,44.8
04 주택 ·수도 · 전기 및 연료,주택수선재료,3.2
04 주택 ·수도 · 전기 및 연료,설비수리비,5
04 주택 ·수도 · 전기 및 연료,상수도료,4.9
04 주택 ·수도 · 전기 및 연료,하수도료,2.8
04 주택 ·수도 · 전기 및 연료,공동주택관리비,19
04 주택 ·수도 · 전기 및 연료,쓰레기봉투료,0.7
04 주택 ·수도 · 전기 및 연료,정화조청소료,0.6
04 주택 ·수도 · 전기 및 연료,전기료,17
04 주택 ·수도 · 전기 및 연료,도시가스,14.8
04 주택 ·수도 · 전기 및 연료,취사용LPG,0.9
04 주택 ·수도 · 전기 및 연료,등유,1.5
04 주택 ·수도 · 전기 및 연료,연탄,0.1
04 주택 ·수도 · 전기 및 연료,지역난방비,1.6
04 주택 ·수도 · 전기 및 연료,부탄가스,0.1
05 가정용품 및 가사 서비스,장롱,1.5
05 가정용품 및 가사 서비스,침대,2.7
05 가정용품 및 가사 서비스,거실장,0.5
05 가정용품 및 가사 서비스,소파,1.8
05 가정용품 및 가사 서비스,책상,0.4
05 가정용품 및 가사 서비스,의자,0.2
05 가정용품 및 가사 서비스,식탁,0.7
05 가정용품 및 가사 서비스,싱크대,0.8
05 가정용품 및 가사 서비스,침구,2.8
05 가정용품 및 가사 서비스,커튼,0.4
05 가정용품 및 가사 서비스,전기밥솥,0.6
05 가정용품 및 가사 서비스,가스레인지,0.3
05 가정용품 및 가사 서비스,전자레인지,0.3
05 가정용품 및 가사 서비스,전기레인지,0.1
05 가정용품 및 가사 서비스,냉장고,3.1
05 가정용품 및 가사 서비스,김치냉장고,1.8
05 가정용품 및 가사 서비스,에어컨,2.3
05 가정용품 및 가사 서비스,선풍기,0.4
05 가정용품 및 가사 서비스,공기청정기,0.6
05 가정용품 및 가사 서비스,세탁기,1.6
05 가정용품 및 가사 서비스,청소기,0.6
05 가정용품 및 가사 서비스,믹서,0.5
05 가정용품 및 가사 서비스,보온매트,0.3
05 가정용품 및 가사 서비스,비데,0.5
05 가정용품 및 가사 서비스,가전제품수리비,1.6
05 가정용품 및 가사 서비스,가전제품렌탈비,1.8
05 가정용품 및 가사 서비스,식기,1
05 가정용품 및 가사 서비스,컵,0.3
05 가정용품 및 가사 서비스,솥,0.2
05 가정용품 및 가사 서비스,프라이팬,0.5
05 가정용품 및 가사 서비스,냄비,0.6
05 가정용품 및 가사 서비스,수저,0.3
05 가정용품 및 가사 서비스,밀폐용기,0.7
05 가정용품 및 가사 서비스,부엌용용구,0.4
05 가정용품 및 가사 서비스,보일러,1.3
05 가정용품 및 가사 서비스,건전지,0.2
05 가정용품 및 가사 서비스,디지털도어록,0.9
05 가정용품 및 가사 서비스,세탁세제,1.8
05 가정용품 및 가사 서비스,섬유유연제,0.3
05 가정용품 및 가사 서비스,전구,0.3
05 가정용품 및 가사 서비스,부엌용세제,0.5
05 가정용품 및 가사 서비스,청소용세제,0.1
05 가정용품 및 가사 서비스,살충제,0.2
05 가정용품 및 가사 서비스,가정용비닐용품,0.4
05 가정용품 및 가사 서비스,키친타월,1.1
05 가정용품 및 가사 서비스,방향제,0.3
05 가정용품 및 가사 서비스,습기제거제,0.1
05 가정용품 및 가사 서비스,가사도우미료,3.1
05 가정용품 및 가사 서비스,간병도우미료,1.4
06 보건,감기약,0.3
06 보건,진통제,0.3
06 보건,소화제,0.2
06 보건,정장제,0.2
06 보건,위장약,0.2
06 보건,진해거담제,0.3
