"년","월","경상수지","국고채1년","M2","WTI","Dubai","Brent","금"
"2008",12,6943.8,3.99,1436298.3,44.6,37.02,41.76,882.05
"2008",2,-2235.2,5,1309161.7,101.84,94.38,100.15,974.17
"2008",3,972.5,5.05,1324032.7,101.58,97.81,100.22,916.88
"2008",4,-2386.5,5.06,1339434.9,113.46,106.28,110.61,877.55
"2008",5,-1737.8,5.07,1356612.9,127.35,119.91,127.08,886.5
"2008",6,-1143,5.22,1369728.1,140,136.65,139.3,925.4
"2008",7,-2261.7,5.41,1378914.3,124.08,123.46,123.24,914.07
"2008",8,-3845,5.44,1386101.1,115.46,109.87,111.98,831.15
"2008",9,1469,5.48,1395719.2,100.64,90.6,97.44,870.95
"2009",1,175.8,2.72,1440275.8,41.68,44.86,44.94,927.85
"2009",10,2512.2,3.52,1551319.5,77,77.5,74.4,1045.4
"2009",11,3013.8,3.28,1564175.8,77.28,77.38,77.91,1179.6
"2009",12,1698.6,3.3,1570027.1,79.36,78.29,77.2,1096.95
"2009",2,5013,2.36,1457931.3,44.76,44.51,44.91,942.35
"2009",3,5786,2.51,1470443.1,49.66,47.32,47.74,919.145
"2009",4,3139.2,2.49,1482009.7,51.12,49.86,49.1,888.2
"2009",5,2329.4,2.56,1491542.7,66.31,64.09,64.98,979.15
"2009",6,4064.7,2.85,1501898.3,69.89,71.93,68.34,926.6
"2009",7,1987.7,2.75,1512822.5,69.45,67.24,70.88,954
"2009",8,1169.6,3.14,1524879.7,69.96,69.42,68.76,951.25
"2009",9,2197.6,3.44,1535279.8,70.61,65.8,67.67,1007.7
"2010",1,-1776.4,3.29,1574215.8,72.89,71.84,70.46,1080.85
"2010",10,4265.4,2.8,1669376.6,81.43,80.02,82.63,1359.4
"2010",11,3897.5,2.92,1679909.9,84.11,84.83,84.91,1386.02
"2010",12,-1743.9,2.87,1682871.9,91.38,88.54,94.3,1420.78
"2010",2,-322.4,3.12,1595403.8,79.66,74.33,76.68,1117.6
"2010",3,917.1,2.83,1607896.1,83.76,79.05,81.3,1113.25
"2010",4,796.9,2.67,1621176.9,86.15,85.65,85.99,1179.2
"2010",5,6650.4,2.73,1630904.7,73.97,73.28,73.74,1216.2
"2010",6,3751.1,2.92,1647981.2,75.63,73.24,73.87,1242.25
"2010",7,3549.3,3.14,1653057.5,78.95,73.74,78.28,1181
"2010",8,3758.1,3.13,1653907.2,71.92,72.99,74.31,1247.45
"2010",9,4207.4,2.99,1659400.1,79.97,77.32,81.42,1308.35
"2011",1,-3159.6,3.09,1676448.8,92.19,94.07,99.78,1332.8
"2011",10,3572.4,3.46,1742645.4,93.19,105.6,109.52,1714.85
"2011",11,6645.7,3.42,1753296.4,100.36,108.9,111.32,1746.38
"2011",12,1738.1,3.4,1756597.4,98.83,104.84,107.58,1563.7
"2011",2,1344.9,3.39,1674390.5,96.97,107.97,111.94,1411.48
"2011",3,-2438.3,3.42,1677475.9,106.72,109.47,117.25,1432.3
"2011",4,-2545.2,3.43,1684792.3,113.93,118.65,126.06,1563.7
"2011",5,-1247.2,3.43,1690543,102.7,109.39,116.73,1535.8
"2011",6,1321.8,3.49,1697204.2,95.42,106.33,111.68,1500.35
"2011",7,3938.8,3.59,1705451.5,95.7,111.09,116.81,1627.88
"2011",8,4470.5,3.5,1719437.8,88.81,109.47,115.21,1825.72
"2011",9,2996.3,3.41,1729531.1,79.2,100.93,104.26,1623.97
"2012",1,-2288,3.39,1757058.7,98.48,109.46,110.77,1737.6
"2012",10,7287.6,2.81,1822420.9,86.24,106.83,109.41,1720.65
"2012",11,8187.5,2.79,1830280.3,88.91,107.92,112.01,1714.8
"2012",12,7189.4,2.8,1835556.7,91.82,106.67,111.94,1675.35
"2012",2,-2584,3.41,1762988.4,107.07,120.5,123.9,1696.85
