"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2017","07","종로구",245243365.5737,4270679.3789,2479437.9314,5036451.5003,9995647.7937,12224142.5865,10936439.1471,11289044.7188,10731572.4191,11680094.0524,9588684.3176,9221721.7285,7381916.9257,5095744.0964,12387721.2957,4320169.7555,2569288.0292,5365337.2516,11465288.6241,12381106.7381,10199653.0095,9830296.0316,8940313.7995,9830138.463,8230478.2959,8933805.2809,7823877.6758,5852403.5922,17181909.2827
"2017","07","중구",222649425.1149,3625726.2037,1428103.7659,2937126.9979,7323024.161,10551054.0402,12130424.4259,13201331.5684,11586441.1482,11699408.721,8940971.964,8373863.9248,6500644.2989,4558401.1596,9155118.9167,3292129.1911,1433437.2309,3603573.0634,9326262.8097,12644034.4164,11284612.7556,10435062.0909,8663465.9872,8445384.1458,7641874.2238,8312934.1433,7081615.9349,4820132.1976,13653264.5315
"2017","07","용산구",221626102.3241,5234559.5976,2663125.0627,4588015.8888,7919466.0365,9841456.1336,10524422.6302,11067252.1861,9727473.9849,9840317.2182,7564434.5936,7453519.6381,6165221.7159,4307728.7578,10606030.1039,5396783.1046,2659742.7994,4469474.0669,9380834.1206,11018584.2092,10340848.3409,9769138.4265,8409292.7574,8431572.37,6803054.1904,7833048.9441,6932912.7817,5291591.715,17386198.8765
"2017","07","성동구",252769269.7005,7916418.678,3453654.5786,5460408.6451,9843171.8106,11328320.4922,10576632.1453,11443665.0485,10336383.3587,10219682.2991,8673296.6298,9442911.6947,7306895.4937,5289510.9429,11062360.9455,8117018.3589,3640636.9607,5551311.8917,10116250.6752,11034977.329,10689832.5228,10970609.7314,9040605.4462,9418230.9422,8619242.7358,9851705.7757,8667464.627,6596622.41,18101444.7247
"2017","07","광진구",277786903.9036,8347810.1446,4406807.6909,7452004.6577,12570953.4253,13038651.8503,11110718.6291,11208006.0441,9811874.781,10360799.3492,8961770.9853,9491647.8537,7567199.1572,5691386.2316,11423299.3319,8497710.709,4557772.0045,7730398.9755,13232184.7965,12850380.5547,11572991.0632,11369511.9386,9946371.6466,10844134.5474,9861848.009,11142246.3024,9697554.0273,7099350.1779,17941516.4627
"2017","07","동대문구",273107584.2045,8233256.5707,4148018.1963,6468835.0238,12217819.3763,12395847.2853,9780038.4727,10690030.8908,9866672.6906,10291012.952,8894507.8511,10049561.5482,8668880.2511,6431783.9351,15164342.0839,7504089.7313,3722669.0469,6342421.2362,11787829.9198,10399872.1212,9290150.9248,10029790.8645,8716172.2666,9860824.349,9210034.5254,10958715.2891,10321312.9772,8154506.6016,23508584.1926
"2017","07","중랑구",273346981.6478,10088004.6815,4938594.8634,6849019.8412,8740125.8627,8879031.3018,9267428.0538,10349498.098,9303257.8262,10123626.7574,9546242.7001,10700643.2445,8940163.6451,6535574.8791,13436758.958,9679161.6203,4696340.2225,6342661.696,9026181.0025,9600938.6236,9603040.1606,10412936.2186,9312466.968,11167991.8634,11259977.932,13112213.6038,10998964.1492,8430307.2508,22005827.3497
"2017","07","성북구",318185069.9733,12179915.8583,6870888.0002,8984373.5848,12893635.1253,12299446.7244,9913264.7971,11089895.4755,11070810.3973,11864956.6748,9689806.6403,10428951.109,9065241.2,6717286.2764,15603129.5221,11322405.6078,6277979.2324,9133571.2705,14207943.5305,11441919.0878,10563192.897,12209648.7214,11931451.4895,12586965.2815,11163518.4044,12761374.6169,11717270.5398,9133011.9911,25063212.7025
"2017","07","강북구",230930426.3369,7930051.7825,4358857.5034,5515892.4584,7774887.8991,7451179.0403,7127302.0654,7931172.1891,7796958.2612,8313076.1687,7222589.9266,8156736.1309,6927653.2634,5623972.3918,13750776.6145,7411830.9422,4057013.693,5707457.0068,8615566.2797,7347377.0037,7064660.9074,8139038.5426,8196298.5718,9479841.5315,8888384.0797,10682919.0086,9341064.7316,8028962.9133,22088903.5388
"2017","07","도봉구",226908067.7832,8370511.8629,4700608.1061,6132229.0007,7168806.4623,6760137.2994,6616396.3422,7699651.8251,7377490.7796,8252426.0662,7648573.8696,8329776.7242,7686111.3209,5759105.3746,12604742.2169,7812901.9954,4413212.9627,5682042.1376,7272574.3293,6899239.4767,6797808.3667,8028243.8137,8076760.5722,9584727.9856,9130047.9494,10914079.71,9672522.2045,7352915.7562,20164421.5228
