"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2017","01","종로구",235033432.1155,4195820.9579,2406533.7765,4283532.8431,9870783.6613,12165025.5827,10517752.2877,10832244.1674,10497195.6526,11072487.811,9066367.4735,8892583.8219,7489619.4144,5048935.1819,12519254.1162,3979009.7305,2340853.2884,4616726.5064,10615496.0582,11805862.0714,9453579.4033,9228751.1071,8470452.5761,9025726.364,7830142.0475,8573256.6348,7544850.7464,5840192.5415,16850394.5387
"2017","01","중구",210308138.5266,3480158.1052,1362679.837,2636718.3725,6765372.5547,10283058.2708,11749715.063,12573659.0509,11402616.3823,11005110.3113,8446726.919,8027570.7333,6431479.4494,4515841.3004,9034726.2797,3154234.6891,1342857.6758,3037058.8398,8435177.4238,11892769.9907,10581408.7003,9843669.6841,8052013.8842,7730859.1731,7004466.1671,7810158.9834,6712419.2512,4598536.4208,12397074.2805
"2017","01","용산구",221115312.291,5388894.5363,2735362.5322,4302796.7714,7620513.5373,9763908.7552,10411600.8324,10962374.8085,9770600.4583,9591865.0457,7458371.6951,7594290.8389,6425112.1483,4488162.1351,11199786.2717,5431916.4489,2688314.7099,4243633.348,8887835.4756,10655350.629,9891579.3599,9811888.4117,8422185.7719,8263001.5144,6855824.06,7997338.3288,7108542.4061,5412773.8418,17731485.2628
"2017","01","성동구",249740543.3197,7720416.5569,3387359.7631,5173212.7241,9382454.3755,11253316.423,10363396.3395,11336224.9351,10301213.7844,10046261.9038,8589302.8941,9481582.3789,7521902.3263,5586579.756,11586844.8117,8132014.3036,3608286.5176,5213110.6634,9471490.4693,10735472.3308,10418013.4383,10734928.814,8963206.6507,9041867.1154,8628190.9525,10114977.4143,8570968.3667,6776985.6273,17600959.0088
"2017","01","광진구",279669906.5922,8211151.9896,4259524.3099,7410761.6794,12502921.8823,12981424.9009,11300149.5854,11576374.4294,10078435.1955,10678442.8816,9227265.5316,9958694.3066,8104372.6551,5947409.4395,11846740.457,8149142.4625,4319042.753,7570315.6451,12804881.6701,12806118.9513,11497261.0726,11342035.3265,9882420.1277,10915561.1304,10226769.3659,11473196.7383,9784578.8904,7325079.7866,17489830.7715
"2017","01","동대문구",271741588.2667,7661153.1791,3864173.2692,5940533.9996,12084492.8043,12338251.8781,9756846.5607,10774258.3256,10049785.901,10114125.3498,8971536.779,10179841.1768,8956704.4951,6774942.1587,15510093.8709,7380968.4848,3665122.9907,5858285.2626,11160787.2593,10233787.4103,9274138.9673,10086887.2528,8665896.4084,9765179.9516,9237229.2704,11324133.9757,10708074.0123,8255127.9236,23149226.4981
"2017","01","중랑구",277126416.075,10114637.3873,4944756.5685,7004987.7978,8800272.5416,9052032.9229,9351532.6101,10738874.55,9267108.4935,10274861.7763,9813531.8698,11022547.779,9361288.697,6937237.5742,14045032.5287,9722438.9756,4697905.1281,6446658.6177,9152427.1454,9632116.5899,9624591.0369,10334666.779,9268120.7216,11247573.1717,11439146.0054,13126023.3961,11339000.4295,8626064.5572,21740977.9301
"2017","01","성북구",317935305.6414,11596972.9825,6500017.3133,8438752.745,12431374.6477,12502459.0178,10131321.999,11406408.0321,11297543.6422,11887917.8982,9824557.2538,10801639.9831,9512336.8325,7072925.1347,16096134.3044,10765762.3037,5929897.4406,8417545.9024,13586738.9575,11393558.6607,10748083.2192,12312686.0499,11926952.2496,12422843.4288,11176081.2075,13026817.1642,11979580.3396,9468484.9027,25279908.9971
"2017","01","강북구",235100294.9833,7850681.8326,4322504.8738,5662454.2834,7810395.5397,7546709.473,7218915.3647,8242884.8628,8085778.8565,8388027.3349,7491980.3542,8560828.5374,7388942.7882,5823372.9002,14290164.4101,7577849.1792,4141258.3824,5684798.3241,8472724.5808,7310466.2973,7277602.6848,8408179.3448,8247848.025,9419439.272,8919149.4716,11037888.6678,9885463.7458,8381853.5164,21652130.5069
"2017","01","도봉구",226888335.947,8168116.6424,4598804.8321,6155436.1462,7044767.1471,6792556.4499,6695558.9504,7648221.05,7341816.1878,8241762.186,7689234.2049,8635152.629,8110218.7493,5773809.5485,12670678.9396,7821511.4322,4438346.956,5668054.0991,7198127.1327,6730905.2313,6799065.3629,8053773.7647,8044947.9215,9394063.2374,9013632.2373,11097200.3584,9834427.2669,7234961.8744,19993183.7884
