"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2017","11","종로구",249168178.1024,4162104.06,2394686.0613,5551122.2497,10342692.6801,11929071.9374,10843066.1567,11448210.5828,10735194.3508,11883189.9391,9793892.4129,9344500.4691,7504781.8731,5147405.6279,12319443.5319,4169707.7183,2474469.2238,6162827.3656,13002801.2252,12461271.7518,10306509.8254,9952457.5211,8956136.1955,9913924.8861,8588458.5613,9054452.9942,7974971.7534,5932543.6011,16818281.4664
"2017","11","중구",227400241.5124,3570688.7891,1406170.1414,3124085.7203,7693398.7837,10463549.1459,12085913.0706,13333356.0975,11870306.6337,12002823.3621,9260411.5547,8652639.5024,6771174.4303,4679337.1924,8913008.1681,3185621.8315,1385134.6219,3982824.9631,10302899.8098,13047368.1856,11755963.7148,10822250.6779,8818989.1958,8846225.2131,7964105.7166,8308436.1284,7210107.8175,4861913.6561,13081536.7802
"2017","11","용산구",222202183.5067,4946041.4602,2526734.9044,4533554.6443,7360877.5989,9535335.4749,10655398.1093,11355853.376,10121932.8154,9925808.1308,7701981.1822,7498287.9354,6169069.1133,4264050.1147,10058775.3291,5467477.3707,2709002.7492,4528420.541,9677838.8828,11180248.3166,10495424.5028,10127661.1271,8647111.5323,8711352.6192,6951050.8255,7710087.5318,7103740.6424,5172254.2216,17066809.9023
"2017","11","성동구",254829046.5471,7995619.6067,3463211.5729,5476829.2691,10346852.5289,11353562.8878,10262730.1322,11375620.299,10200496.2151,10332148.8917,8636411.3229,9452387.3385,7318820.2733,5240747.9796,10967931.56,8141771.3463,3641050.1483,6077561.5109,11464761.3418,11268023.7924,10830073.4627,11029539.7635,8987833.2655,9518169.1927,8729923.9718,9891324.367,8635007.9877,6404487.0621,17786146.8672
"2017","11","광진구",280893426.6283,8283155.6025,4385189.9438,7736393.4936,13697908.4785,13086047.6015,10929242.6,10908942.3964,9876941.5875,10256521.299,9136049.6063,9345066.2034,7493890.9603,5577119.2996,11172621.3367,8568931.6026,4617239.1024,8223976.3053,15160810.5096,13185580.7215,11604354.1956,11407687.5852,9924507.4694,11023708.0032,10123638.0153,11170435.352,9574719.085,6858914.5174,17563830.8541
"2017","11","동대문구",277641392.1736,8066384.4297,4061182.5247,7053450.2996,14649841.726,12625640.9472,9653737.3705,10161573.407,9646184.6693,10218686.2081,8831347.0618,9703780.7566,8325650.7899,6199777.6936,14641594.0853,7414602.2399,3680801.2791,7737393.633,16154784.0226,11084223.8398,9252276.287,9867346.5024,8649599.9561,9736811.0083,9061463.5601,10558297.4176,9801416.9712,7852570.1708,22950970.237
"2017","11","중랑구",262634161.6284,9958542.5933,4873741.2523,6643895.2765,8172519.3929,8121610.6776,8551021.3602,9952667.1319,9005693.9409,9753237.1216,9244641.0531,10093685.3525,8598793.663,6302879.6026,13051739.999,9407961.0155,4560355.5008,6062146.6784,8328828.41,9061615.6965,9129487.2294,10103341.9891,9026965.7274,10782283.07,10949885.5903,12658402.6343,10628579.6842,8170872.9568,21438765.0657
"2017","11","성북구",324264145.5013,12425025.1242,7010233.5698,10300715.1927,15235093.2182,12399939.036,9385813.2072,10619277.3926,10712571.0657,11751290.9734,9453372.396,10169875.5999,8872291.6696,6465977.0761,15305424.7292,11369634.6226,6294743.2923,11054911.6367,18852945.9517,11586891.183,10297821.6544,11986106.8808,11882016.3062,12535269.8831,10946101.0869,12263211.5944,11388510.2027,8774065.9449,24925011.752
"2017","11","강북구",220587815.5492,7688377.9125,4240507.0826,5244967.6067,6816817.2033,6799368.1144,6558133.6229,7458907.7556,7373374.3246,8052214.2607,6803365.9375,7668334.4539,6573237.087,5325594.8391,13254204.4385,7229662.2624,3964246.0583,5669637.8805,8352644.2377,7102940.0188,6709831.4713,7794563.2309,8031905.897,9153857.6759,8532323.1365,10060363.1665,9003691.0653,7655354.454,21469388.5816
"2017","11","도봉구",214796661.9482,7919611.1416,4443901.3541,5608967.3874,6208413.363,6012088.8863,6024691.3687,7041684.8368,6937502.0902,7741694.4452,7030876.4529,7930701.0669,7231769.9214,5560238.7621,12225556.9022,7589915.8107,4301745.2518,5335757.7043,7163701.5503,6528822.7752,6432762.881,7714254.2563,7672317.3809,9171635.2878,8737071.4699,10367257.1533,9039241.4471,6906232.287,19918247.3097
