"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2017","02","종로구",226864837.6722,3919483.9508,2228646.9479,4073837.2712,9556988.9611,11819059.563,10308812.0031,10559017.1418,10226149.0961,10772889.6653,8784394.4778,8597427.2588,7119525.7519,4907186.151,11926122.8215,3684337.7368,2176125.3404,4587315.1442,10365427.49,11627585.7311,9301695.8754,9044840.7501,8213918.1724,8734493.6354,7565537.8423,8328079.9611,7208314.8325,5456560.6186,15771061.9789
"2017","02","중구",206166016.3108,3200585.2802,1257070.4905,2551896.5915,6528070.9404,10057838.5177,11497926.1388,12329871.6785,11220992.6497,10866627.7743,8350710.7755,7900918.0274,6281921.7281,4477088.6916,8834497.4791,2935033.184,1251911.3241,3008372.1037,8273096.1128,11772540.9808,10445798.3105,9793238.1267,7952001.6474,7603234.4422,6883996.1463,7693292.0816,6566220.5449,4525338.5628,12105925.0877
"2017","02","용산구",204908257.883,4932707.1379,2504222.7921,3956361.4695,7148954.8271,9110574.1448,9677411.8341,10251350.6308,9046029.0276,8964396.1943,7006705.4779,6980616.4545,5958360.7557,4140967.7246,10326275.2114,4888296.5711,2418305.9562,3961923.3098,8396259.9945,10113515.1869,9331207.1335,9027339.4879,7729010.941,7584018.5567,6347938.1713,7291886.9257,6456844.0792,5041887.5478,16314888.3154
"2017","02","성동구",231378004.265,7026296.9744,3072613.072,4827902.2848,8929363.5381,10534640.4373,9570339.4943,10502995.1384,9574419.5516,9380580.4018,7944581.3538,8799597.5737,6952060.0398,5034170.0125,10548275.3317,7549138.1927,3343474.079,4831095.4293,8983609.0796,10096596.5349,9701309.6347,9995434.9412,8268782.1749,8413084.6465,7984460.7551,9263901.984,7832172.2657,6182542.9188,16234564.1259
"2017","02","광진구",256411945.0389,7668502.8336,3999060.8703,6887926.4554,11664250.0403,11965553.1785,10297907.2476,10462280.3624,9068865.8457,9706244.3416,8307447.2929,8923033.2415,7272730.9085,5304710.8542,10766221.9333,7635241.0133,4065652.2494,7033135.1502,11997886.0466,11896015.5743,10662518.9989,10379887.9872,9121334.4132,9963787.5116,9315770.7412,10432843.7891,8912959.3378,6609348.7948,16090825.479
"2017","02","동대문구",248795543.5571,7034269.4956,3548321.8193,5677353.2117,11436184.0905,11542151.327,8850205.7626,9708496.5673,8993676.305,9204581.6532,8167813.299,9257752.821,8100332.9097,6080448.2678,14037391.471,6779293.0142,3366734.1745,5621727.1965,10533046.0353,9566781.8431,8477098.3727,9200683.4397,7936937.5464,8953321.2683,8457715.7045,10324300.0368,9647101.1927,7427042.6059,20864779.3292
"2017","02","중랑구",248106997.041,9200559.4119,4498234.3349,6296469.6939,7908511.3829,8078534.3319,8298001.3221,9456724.0628,8190956.0935,9130353.9291,8735580.3785,9817690.7962,8350480.6209,6063353.6589,12499160.8303,8688131.9425,4199657.9769,5771374.4007,8227598.7742,8671368.4496,8678614.3166,9230050.678,8366584.5798,10176211.3628,10252643.6971,11859183.295,10068174.2405,7694934.4713,19697855.743
"2017","02","성북구",289579890.6698,10772626.9953,6044528.1769,7899008.2174,11542023.9353,11408467.9359,9068807.5996,10165276.042,10181154.6767,10669348.1553,8866037.1677,9620900.6439,8468144.0218,6381820.9635,14251840.2908,10046778.3786,5538281.4935,8050735.4025,12699719.1095,10509673.9559,9746805.6058,11211623.726,10877285.9377,11358609.3871,10242559.4529,11817505.0751,10832134.3827,8522759.0423,22785431.9749
"2017","02","강북구",210569498.0191,7232566.4276,3978044.7126,5039369.0144,6993963.8865,6726994.6737,6333941.576,7247475.7779,7103669.9979,7492847.1841,6617774.918,7560052.3673,6512930.2831,5193733.9742,12577118.7414,6945887.3744,3802209.6348,5154279.1294,7683283.0935,6619410.3386,6556154.3598,7477430.1466,7421064.3375,8553580.5285,8061299.1672,9922377.9081,8815462.5894,7406047.4113,19540526.578
"2017","02","도봉구",202748496.7346,7430345.2084,4184792.6928,5470103.4556,6293666.501,5992564.0343,5806540.4238,6743680.2954,6484184.6975,7248839.0639,6842955.7093,7676340.8244,7141677.3121,5130760.7084,11278025.6136,7093967.0191,4027861.5267,5113992.5651,6380210.5931,6025558.1948,6035758.5272,7199081.118,7231124.4253,8451892.7126,8123955.5442,9853675.9801,8932027.715,6522637.2778,18032275.4335
