"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2018","02","종로구",215595344.5574,3852792.149,2189935.0968,4090520.6124,8529839.292,10150183.3581,9423916.2166,9889852.5603,9304874.3402,10396101.9293,8597826.5463,8279404.2657,6678585.2417,4706357.3716,11094581.9176,3763092.931,2219311.9102,4612202.0774,9722639.0988,10495207.0478,8975313.5594,8733542.0373,7917886.2417,8633886.609,7571198.2195,7982325.0121,7033732.5281,5260466.1661,15489771.6563
"2018","02","중구",193544680.5536,2993462.3352,1179377.0598,2485409.8085,6072625.4264,8969055.6049,10154657.2057,11355176.9715,10032968.3388,10227188.2421,8005278.6828,7549334.7448,5926437.7893,4095743.8874,7939580.9177,2947164.0369,1266080.9972,2956054.4134,7925025.6791,11021128.0762,9961517.4964,9340618.1028,7546066.3774,7605085.0467,6780203.3661,7123476.2992,6237934.8337,4156192.2042,11691837.8242
"2018","02","용산구",199494150.7575,4613572.0458,2340607.7912,3859053.1815,6712091.3239,8711004.0048,9638334.133,10225560.0071,9010352.21,8963346.1657,6830334.1279,6711422.586,5479796.8122,3879256.8939,9035075.0265,5202934.1835,2518317.2826,3841020.4094,8063196.9597,9953315.4914,9475516.067,9251434.8002,7927657.5769,7834350.7318,6265708.1061,6875046.2784,6351383.3405,4739799.0168,15184666.468
"2018","02","성동구",230587730.7818,7485243.8783,3252392.4464,4718052.6978,8407355.232,9872519.5041,9371330.196,10408053.8659,9299470.6065,9618477.1878,8038762.6254,8709497.9402,6783515.9212,4895893.005,10256448.1885,7317667.488,3283896.7868,4894204.0546,8968918.2509,9803720.1859,9876487.3,10024902.6599,8339548.953,8759586.6143,8049157.8681,9185774.191,8150231.1936,5958722.9067,16857901.8273
"2018","02","광진구",257841723.1172,7799379.0715,4113251.8699,6886130.9252,11154695.6059,11600493.7851,10272793.805,10181832.028,9223337.1871,9705306.4545,8669336.8193,8914321.8703,7181294.8469,5281190.6874,10915191.7553,7838530.9439,4232523.43,6806682.8148,12037156.14,11773949.7467,10710461.3735,10645634.8794,9211344.3243,10265913.5479,9601840.7002,10508131.6417,9159901.6251,6327966.816,16823131.9125
"2018","02","동대문구",249510539.9469,7522929.8743,3778817.922,5809868.1188,10675408.3566,10555315.7176,8874134.218,9493405.6939,9120439.9429,9689915.5432,8350794.1524,9259865.4943,7980213.8503,5912219.4391,13776396.4362,6943831.9146,3449315.3848,5969798.4386,11037011.6623,9524092.0486,8517557.1912,9171688.9967,8151751.9636,9207716.6692,8472158.4151,9942580.8884,9331073.6287,7371112.7595,21621128.7205
"2018","02","중랑구",250016215.9049,9166171.6387,4483331.8801,6310978.4961,7900764.0026,7939795.8425,8295089.3527,9502271.5464,8613022.5117,9458299.2034,8983217.5157,9778097.6501,8318290.5976,6058518.6811,12267645.1619,8916078.6715,4300790.4236,5521221.5237,8012453.77,8549252.1062,8698129.4129,9644794.2852,8379368.0821,10161976.6055,10379502.9437,11884204.3315,10152756.038,7687855.6643,20652342.2915
"2018","02","성북구",293426924.1481,11623383.3841,6536249.6727,8170292.7689,11238724.7882,10573208.7313,8828552.1991,10082268.3237,10123868.9998,11328204.1676,9097668.1776,9727334.1799,8513323.7232,6333311.2922,14383900.3048,10470977.188,5781726.0853,8324536.3741,13012568.422,10163124.8589,9591943.2961,11164109.6996,10987860.6711,11890361.1115,10426432.7103,11640063.4706,10735473.7947,8420881.4463,24256578.9465
"2018","02","강북구",208387463.2665,7134202.8062,3923388.707,5080210.0276,6610317.3158,6581334.9227,6264102.8008,7204858.2469,7147078.1196,7718535.0889,6663722.7723,7382141.8624,6387113.6196,5025506.7704,12557075.217,6531346.2901,3568334.7708,4986510.0458,7626461.2803,6626618.9973,6422517.864,7321607.5997,7557877.5753,8520678.5622,8112373.0854,9513783.0201,8431758.1991,7259661.5655,20228349.706
"2018","02","도봉구",203389677.4111,7276241.4881,4062549.1833,5330511.4348,6268271.6376,5756862.9357,5860583.152,6710505.3267,6742673.4289,7416099.9671,6897384.308,7606643.2255,7008896.6631,5307304.0392,11633778.7205,6944921.0976,3930758.8031,4840808.1921,6433616.9459,6172375.6333,6095518.4999,7293822.1619,7147796.871,8610449.5428,8273868.8933,9838396.2412,8728084.5496,6487388.3095,18713569.7012
