"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2018","04","종로구",246260764.6663,4474600.95,2551752.24,5940836.7924,10095554.2771,11239541.2985,10493660.7566,11198639.31,10399359.5922,11745481.5182,9650241.3071,9240163.9225,7337070.6384,5191746.9341,12281450.6533,4323605.5131,2550153.3407,6588777.0521,12179986.5307,11871074.0276,10213306.0875,9874129.9973,8994778.3148,9876528.5562,8576625.5393,8943550.3938,7832402.4989,5728872.2935,16866874.2853
"2018","04","중구",220466640.5053,3368400.661,1342295.6316,3493279.3292,7673485.4311,9935637.1174,11410408.3948,12744330.1579,11227548.2132,11543897.0082,8907122.8919,8471214.0102,6569428.3562,4522220.1133,8638002.2457,3259123.9679,1424897.4394,4271598.0575,9679143.8376,12391715.9947,11333203.9794,10467236.3059,8516288.7143,8723806.6615,7727127.821,8206162.472,7171535.06,4721549.7149,12725980.9243
"2018","04","용산구",218896312.2598,4996536.6449,2556548.3234,4699987.4556,7122655.4604,9413779.1415,10611993.1513,11171215.3224,9886766.1758,9948122.228,7523097.6997,7274741.0523,5975492.0956,4133092.5637,9584027.2666,5399062.2675,2660045.8047,4853165.2274,9431861.7943,11101157.7928,10608699.5644,10202614.9935,8763509.5178,8628474.3913,6834129.2287,7499934.3443,6788051.491,5091370.8921,16136180.3404
"2018","04","성동구",254592710.1976,8416022.4773,3634642.2901,5777012.0475,10230122.1613,11156096.8608,10276234.9271,11420974.3782,10012352.7937,10382656.6852,8660310.2945,9289535.2593,7213112.334,5138283.5796,10816319.1542,8054322.2854,3623911.4413,6468899.7008,11181985.9903,11109568.9651,11038763.5005,11023031.1844,9050633.6254,9577743.2983,8665643.6011,9690966.7273,8659198.7916,6355053.0053,17669312.9301
"2018","04","광진구",284525326.2942,8738892.1489,4643755.7438,8231827.7616,13851981.2162,13187817.7048,11152722.8807,11000079.8746,9881392.4901,10389645.9301,9246996.4398,9468986.5081,7501726.1813,5435437.8181,11193042.9478,8798893.5078,4771084.4327,8421454.0906,15384349.8572,13399931.1971,11807706.4971,11678216.2122,10023522.998,11107007.3991,10223230.8994,11109006.6639,9565251.2117,6712543.8735,17598821.8187
"2018","04","동대문구",277005400.0861,8078549.2865,4058375.5113,7683895.2455,14516401.179,12203230.4117,9281198.1256,10212466.0043,9576823.2072,10334459.2457,8771612.6857,9749551.4121,8267594.2064,6183067.3264,14189568.4685,7269539.6617,3599462.1312,8746189.9218,16162368.258,10937395.0231,9180348.9767,9970880.7777,8705805.5633,9843991.6608,9071628.5734,10365798.8517,9645463.9016,7596758.3005,22802976.1942
"2018","04","중랑구",261843091.2505,9764803.9938,4765638.3932,6385928.8997,8175006.6358,8320341.8586,8594921.4476,9937313.4015,9090190.0212,9811940.3176,9391630.6139,10096504.6681,8483391.7683,6350960.9913,12805241.0884,9340272.0554,4501764.0138,5966949.0197,8179586.0299,9116023.0222,9274108.2725,10190317.1737,8952412.3868,10778100.6397,10914508.1418,12474168.0297,10499219.2173,8001271.2562,21680577.9711
"2018","04","성북구",325010742.5083,12658840.2648,7136821.7657,11157274.817,15166559.8466,11961294.9726,9316238.4348,10623174.7505,10593333.829,11972862.1706,9686953.8757,10127931.7187,8682428.1651,6472761.9936,14562730.204,11209637.0877,6198980.6241,12294741.5624,18682155.613,11367185.9169,10328148.202,11972156.1951,11795126.311,12767587.6374,11089317.4123,12207462.6034,11121114.2734,8577418.3951,25280503.8629
"2018","04","강북구",221785874.0917,7794360.1774,4289183.8275,5045323.2661,6883137.7769,6930195.6534,6664517.2041,7475398.6784,7599916.2499,8160963.8747,7084357.802,7660236.2593,6668715.9036,5172070.0566,12965496.304,7145317.9039,3912392.0995,5760436.2428,8640495.0614,7125393.1726,6832687.659,7799572.1762,8126952.3493,9240859.5055,8737335.5848,10009541.1392,8828439.3188,7584392.2149,21648186.5186
"2018","04","도봉구",213213129.6062,7753870.1826,4334264.3428,5383488.1572,6114981.2153,5993355.4831,6042327.9235,7024210.7929,7033982.7019,7727464.3958,7195052.4404,7902333.2158,7152425.5819,5397712.4199,12092870.8512,7485320.8396,4234293.4888,5520961.1447,7103358.5041,6572319.8163,6397263.0304,7624174.2221,7616647.458,9132891.0319,8722135.7651,10100580.1765,8984160.5377,6847152.0832,19723531.8369
