"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2017","09","종로구",246338131.9143,4500191.6168,2570852.1084,5461747.3157,9989259.0104,11953780.115,10793747.8627,11294006.4969,10752313.6079,11731388.1929,9567957.7071,9217714.9508,7494298.9141,5157926.2348,12553694.4446,4565584.1122,2705860.6533,5846249.2452,11447370.3369,12154519.034,10103091.6182,9942798.1828,8850212.1036,9814834.9475,8329766.5839,8988527.7441,7886880.9114,5886352.3025,16777203.6792
"2017","09","중구",224309941.3396,3900412.2051,1488568.5685,3099874.2673,7395761.7392,10397064.6955,12066247.6136,13256028.9041,11735400.5707,11740611.0568,9023875.7153,8528126.556,6582392.0629,4638343.6445,8981704.1124,3423854.7421,1488417.4243,3966832.8106,9295966.5264,12471474.8332,11376454.6299,10677605.4115,8780593.4232,8585448.303,7754593.2096,8353729.2714,7180539.9475,4837124.4143,13282894.3312
"2017","09","용산구",217899155.9877,5157803.5106,2634633.933,4625806.9854,7430851.2714,9664430.4681,10355686.2236,10816858.7192,9545573.457,9499087.4278,7421122.2988,7355091.733,6082357.6387,4259447.8179,10207040.9569,5418314.3454,2690131.2621,4615820.8282,9651417.6118,10994185.3332,10161357.6122,9610454.6664,8279180.5868,8282263.0067,6693856.0436,7547333.1229,6782235.0153,5111235.7862,17005575.8424
"2017","09","성동구",250819962.8327,7890996.6608,3433757.321,5475708.2862,10129423.987,11251717.8898,10388629.759,11270807.5302,10112865.653,10151048.0794,8513735.4998,9314399.1751,7192535.7088,5145955.4992,10922571.4222,8178078.4055,3668454.7909,5964081.4691,10634515.7856,10895609.8623,10513166.8356,10738089.5276,8920542.4553,9347644.5707,8540794.0439,9629329.8719,8415102.2464,6429791.8276,17750606.3433
"2017","09","광진구",274987554.8674,8183471.5448,4326494.397,7550505.5501,13291794.9944,13097526.4581,10954869.8981,10891405.8887,9696401.8591,10009716.5471,8801872.5418,9170631.1744,7292653.1204,5505756.669,11067258.56,8620324.9141,4635985.5451,8015109.6906,13682828.6782,12628089.0407,11355185.986,11214534.405,9775813.6037,10779034.3963,9688021.0872,10886427.4708,9397458.0252,6848037.1381,17620342.9536
"2017","09","동대문구",271008843.5406,8158412.338,4108438.7659,6874553.9433,13703721.1837,12578630.0521,9506379.4568,10269440.2981,9567041.1839,10118822.6979,8681485.2655,9647232.2753,8332434.8111,6207096.0043,14793477.6738,7453043.7447,3699849.6503,7070464.2517,12923339.177,10202809.2637,9022848.8908,9761916.235,8504252.7412,9615824.521,8967499.416,10568363.3149,9893435.7717,7975826.4427,22802201.0146
"2017","09","중랑구",264174148.9135,10005234.1739,4894535.7118,6625214.3564,8339557.0189,8355874.957,8773721.2388,9985686.1855,9066846.511,9748040.3988,9219882.0316,10142648.2428,8563397.8961,6306085.1718,12856043.4447,9582800.3235,4644997.6975,6045458.504,8531618.9762,9196844.4926,9248968.6081,10100161.7737,9114642.9893,10802938.1638,10990368.6008,12753905.7838,10707130.0806,8139922.2658,21431621.0698
"2017","09","성북구",318786578.3123,12145273.7205,6847407.2422,9951241.8692,14463922.8517,12470151.3699,9591697.4537,10737813.1899,10795961.3381,11662155.6873,9514086.5356,10063465.2671,8771743.0471,6427064.7007,15178117.7511,11238368.4199,6225907.0421,10666699.1874,16586534.5646,11194975.2041,10242270.6438,11945672.4109,11736268.5418,12439588.6316,10894463.1343,12335666.4574,11366047.5701,8756427.4172,24537583.6017
"2017","09","강북구",220990746.6184,7670677.3446,4226659.0059,5140424.2798,7105020.5502,6962193.0432,6732329.5415,7606706.385,7478288.9887,8010217.7575,6863852.1763,7672158.8918,6587378.459,5339096.663,13096478.4401,7294491.6938,4001218.9911,5642440.28,8340384.2795,7086408.2328,6718485.4822,7773038.4388,7984679.0218,9158346.9247,8614146.3976,10132981.5365,8909533.2554,7757135.9448,21085972.9282
"2017","09","도봉구",218411296.5771,8073083.624,4541476.0126,5716928.5546,6425303.9427,6365641.5757,6339159.1835,7330937.1812,7013576.4629,7867891.3173,7248880.8676,7987054.804,7340422.9895,5533465.1686,12162113.457,7750432.0854,4387809.6521,5454906.1531,7310520.9467,6684343.1521,6596670.5236,7738655.9648,7775251.6528,9327049.1682,8951103.4141,10498820.364,9211797.1864,7084084.275,19693915.2189
