"년","월","자치구명","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"2018","06","종로구",235533558.1473,4185221.3304,2446659.9158,5623640.2596,9831986.7053,10866169.2973,10078514.0266,10575681.0924,9805195.0969,11183458.2514,9257713.6744,8924682.5961,7130082.2167,4997991.8441,11833585.6694,3967191.6293,2346104.5776,6116454.3323,11743983.2221,11386740.3642,9584954.7527,9338474.3133,8501059.3856,9487278.942,8296891.2685,8722541.1652,7580049.7794,5553071.8353,16168180.5439
"2018","06","중구",212804093.1072,3146170.6281,1260541.7623,3207092.2383,7378857.3344,9466282.9,10915421.3949,12119933.23,10590846.2102,10983233.8308,8493720.4566,8172589.2801,6360440.9974,4483738.6799,8465582.379,3346975.7146,1465138.5889,3819080.4361,9363209.9877,11803392.4704,10894115.1758,10140134.5573,8282676.3461,8481165.2321,7521170.5474,7991368.9551,7020368.9963,4777411.1463,12853433.5653
"2018","06","용산구",217405012.2971,4931040.1836,2518441.1708,4728314.9211,7326321.6466,9483710.1257,10494677.8363,10990159.9788,9749572.9798,9821956.1806,7511606.0101,7184927.3018,5882377.9477,4115545.4614,9369158.357,5325517.5477,2618082.7771,4718040.1443,9500035.6171,11295208.77,10697400.6537,10174908.5418,8644771.9006,8557071.4936,6758163.1841,7396293.3204,6712378.9998,5077016.9203,15822312.1753
"2018","06","성동구",250705268.4132,8416813.7861,3656482.719,5551961.3886,9995349.8902,11033727.4639,10159765.9572,11321563.7567,9969827.414,10287130.1582,8437931.9026,9162805.6205,7136420.0162,4952736.4795,10520540.6516,7975793.5958,3595377.9147,5984792.2973,10833453.8599,10982527.48,11068289.3238,10906301.0929,8937584.484,9565405.4953,8487817.018,9572292.5053,8572597.7015,6373560.8778,17246417.5562
"2018","06","광진구",283016457.1344,8819513.3427,4714332.3387,7954203.0271,13448109.0144,13132405.0783,11190688.1994,11120783.9016,9752316.4734,10396421.3648,9180065.2242,9423756.474,7449135.2763,5418270.5134,11254434.4543,8754017.0032,4778959.2483,8190130.578,15042571.1262,13373930.0426,11772025.7106,11673940.2622,10031337.8442,11080774.3463,10177669.665,11090332.7614,9511547.4926,6723271.033,17561515.4062
"2018","06","동대문구",272898550.0646,7996588.5519,4002631.2498,7136093.7774,13852578.7172,12039514.2966,9239011.8885,10143893.4143,9600672.3889,10241338.1132,8659941.6306,9633175.8041,8173131.3121,6116952.0049,13990869.8696,7389865.3196,3644368.4231,8106343.893,15536047.451,10745982.1317,9151871.1278,9903688.3587,8646515.951,9728366.8055,8956661.2814,10351163.0949,9576560.3485,7592149.3109,22742573.738
"2018","06","중랑구",262189696.1875,9691627.8876,4727633.5339,6445475.4723,8298423.2156,8242761.752,8602444.5752,10159823.5974,9043009.1409,9813297.033,9404404.7458,10094902.9083,8472662.1689,6381494.2487,12599211.1721,9423565.7354,4545909.8881,5997322.9023,8288588.2063,9066793.3778,9346333.0224,10185516.4597,8904907.0926,10727602.518,11001446.4364,12518841.4663,10436115.4595,8073489.4413,21696092.6647
"2018","06","성북구",318749257.8213,12405278.9187,7000851.6285,10239818.7805,14275920.2202,11796021.5943,9376861.9046,10591462.2104,10493136.282,11857442.3332,9537910.3071,10067411.4162,8587186.1646,6387354.7525,14515115.3509,11147623.4214,6163563.9722,11005142.6266,17410936.3992,11226856.9646,10225064.2356,11919376.3956,11666138.0184,12783273.9859,11079848.1275,12085589.2806,11129179.5374,8492063.6136,25282829.464
"2018","06","강북구",222811121.5969,7575534.4675,4166435.749,5126088.3319,7150389.9721,7005772.9372,6707047.3143,7501005.6937,7739804.7919,8323414.013,7147199.1988,7761210.3164,6702986.9954,5201891.1679,12982006.2091,7009888.8591,3838100.5413,5745161.295,8611055.4285,7222042.2844,6842621.4025,7793224.719,8183925.2159,9330185.4246,8757631.242,10052447.6977,8911741.2693,7677019.2895,21745289.714
"2018","06","도봉구",215708708.8266,7968575.9185,4470029.6685,5595173.5505,6356413.8937,6007282.5708,6079961.6013,7145818.6265,7177765.1965,7836936.5545,7192926.5946,7913209.351,7135258.7802,5376631.2791,12162083.6721,7516355.551,4254122.3895,5585988.264,7061034.9335,6587856.1248,6589624.8758,7699392.9795,7730402.3676,9239489.1806,8805388.229,10270900.0436,9154654.4708,6835477.1665,19959955.116
"2018","06","노원구",381473559.4118,14845436.9911,9763711.2922,15163866.4692,15253617.1628,11518260.4667,9919194.0651,11681621.1545,12246914.4354,14419617.0342,12360187.1071,12764376.1416,11106908.6744,8076466.3321,16179809.4782,14045754.9534,9196849.643,13857175.8644,15107298.1984,11029538.674,11303725.7288,13605746.7169,14930121.7143,17655055.9766,15005494.192,16228378.1492,14210852.6828,10276534.0322,29721045.8322
"2018","06","은평구",324628382.8876,12857561.5856,7228476.0288,9269342.9121,8818808.9669,9508993.8417,9622759.628,11972569.6048,11486466.0728,12430545.6274,10233160.5979,10692202.9968,9117229.4963,7070156.974,16792548.321,12019410.1006,6599999.0164,9266786.798,9763674.6245,10706739.062,11069907.4351,13056033.9226,12913583.8082,13947919.1946,12155754.7241,14041986.5488,12709205.9637,10001050.9641,29275508.0177
"2018","06","서대문구",280524275.0185,8401900.4001,4296037.5859,7012724.2379,12413891.8603,11953938.2755,9371779.805,10184435.7018,9893003.9187,10764618.6151,8566426.852,8726948.4187,6993711.9115,5094581.1214,12646344.2042,8338586.8782,4441962.4698,8938962.9076,19125775.9559,13705512.911,10779008.7415,10715069.9468,10080222.0225,10795643.9413,9585969.5812,10427246.9194,9042258.3442,7120843.5254,21106868.1355
"2018","06","마포구",340214341.9181,9622539.295,4758822.4258,8227493.8582,14404725.8168,16444061.1012,15497737.7819,16130743.8031,14173077.1521,13989994.8405,9876162.5856,9739075.6614,7564372.1987,5392663.0758,12380100.1878,9983552.2143,5045246.6954,9297931.526,19950828.5597,20188185.5942,17320404.2726,16036038.8199,13705013.933,12680801.744,10235008.37,10844179.1746,9367947.519,6981433.3138,20376200.5523
"2018","06","양천구",289885268.0455,11913933.7114,8275741.1737,9722690.2648,8119645.3163,8003771.8257,8516643.6797,10251198.5493,10805173.0013,12424396.0402,10262996.2509,9893701.9622,8217468.1207,6501560.3617,11522494.1848,11478814.4941,7792030.9822,8918969.0114,8152390.5479,9075929.696,9700545.6889,11708332.8213,12554261.2808,14033693.1385,11654585.2259,12095275.862,10670711.044,8098726.976,19519587.0007
"2018","06","강서구",396080881.5148,15479076.2869,6985655.3599,9332265.0099,10630130.0346,14457540.609,16255567.2873,18731978.4752,15738715.7241,15345804.4152,12252790.9035,13440969.3442,11294112.4321,8794950.0782,16703934.7722,16205706.2996,7234051.6898,9479653.0693,12438795.3673,16505476.5292,17647821.8089,18230226.8826,15404201.9803,14605089.666,13580714.4824,16098843.6094,14601626.9706,11220074.1051,27385108.2893
"2018","06","구로구",290687072.1249,10538321.3457,4728718.7112,6571125.416,8408674.7056,10784974.8345,12082811.1542,13949018.5122,12744896.4091,12267280.0281,9984706.2936,10292058.675,8996133.9568,6633038.7984,12635637.295,10338159.4092,4495205.1656,6351508.4655,9144296.4053,11841323.2049,12155490.6085,12605985.3426,11448718.0736,11443132.598,10281007.7091,11902623.9916,11000151.9299,8196766.5935,18865306.4076
"2018","06","금천구",161943957.27,4558324.2012,2165749.2723,2876663.2226,4706975.4101,7685074.0944,8316434.8404,8865920.945,7544767.6053,7610589.2683,6549063.9554,6510223.4308,5017310.4703,3678413.1565,6398113.5945,4600340.9574,2320238.1717,2849688.9082,4984721.279,7049338.2032,6674236.7137,6582835.7858,5780877.0481,6475690.175,6115272.6006,6796657.1367,5711996.8862,4323707.3842,9194732.5546
"2018","06","영등포구",349441265.5539,9681683.4438,4331467.8338,6490385.3523,9752850.7016,15314959.7387,16942647.241,18362668.5761,16024081.5047,16611175.4549,13267293.0372,12704032.7831,10505820.8971,7568549.2825,15132717.6631,9875477.7297,4093203.2425,6015117.7935,12230196.8799,17208005.4155,16800195.8957,15546830.3937,13177743.5315,12911367.3555,12022532.4842,13346527.5142,11905377.5971,8983798.7135,22634557.533
"2018","06","동작구",298056066.1809,9356033.9284,4400987.3783,7947045.9825,14683659.7085,16353471.8604,12101909.8966,11389256.5514,10036328.1734,9951722.1731,8105941.5401,8652879.0959,7896456.9727,5914275.0033,14011426.1963,9911065.2384,4525609.2097,7639048.4006,15145942.3458,13903669.5771,11956639.0356,11482162.5493,10144773.5739,10328850.6561,9727548.9636,11427390.204,10518955.6176,8503206.4807,22039809.7655
"2018","06","관악구",365562233.4425,9700834.6259,4743249.9276,8504691.9129,17505006.7473,24544309.625,19155358.2319,16095744.8648,13146511.946,12738520.1066,9953764.4494,10326732.3635,8976149.7893,7542763.3592,15694170.0581,9872997.5726,4754676.9776,8308448.9168,19042099.8601,21382585.9667,16123482.9759,14100595.6847,11622359.0996,11675289.0669,11100464.7472,13196924.0643,11935555.0615,9958065.317,23860879.9653
"2018","06","서초구",440302486.9582,11966595.8289,6759863.7454,10622747.7873,13064813.4584,17221062.1841,18678078.4935,21596452.029,20775504.5182,21442341.5337,15845533.6917,14177059.883,12010933.4828,9062465.2938,18565705.6012,12762317.5545,7226151.8917,10967872.8376,16135051.3926,20693581.8639,19801803.2713,20081419.4844,18622751.6099,18544218.3117,14519598.2063,15583031.0992,14800574.9917,11526822.941,27248133.9442
"2018","06","강남구",586993079.6683,13829142.0959,9001834.2667,16421433.174,17167911.8163,25593467.6174,28546510.8937,31484683.8889,28284981.0655,27862973.5883,20336945.6092,17017817.7995,14366271.9711,11125125.2401,21466276.3296,14010573.5574,8849469.1351,15330291.668,23597748.1582,33167777.1748,29958348.7614,28665034.0325,24757136.3574,24615985.9366,18187934.7996,18743561.6235,18034960.8364,14115737.219,32453144.7804
"2018","06","송파구",542995543.1442,21061907.5827,10942226.4599,13837975.8518,15612934.579,18900903.2651,20777872.2188,23858025.4939,21399797.3324,21326961.8835,17935723.165,18232853.9258,15654686.683,12130599.4563,21209839.3114,20478527.4261,10872700.4414,13373250.9675,17190554.9846,21794214.3253,23366084.309,25141551.7699,21637713.4182,22727970.6409,20615026.2252,22741743.1833,21211146.9943,14876846.9806,34085904.4258
"2018","06","강동구",350010264.8606,13848237.9286,7511564.4501,10176968.6865,9664120.3127,10810105.5835,11595266.994,13773936.1543,12602269.0957,13861686.9056,11819455.5393,12931870.1276,11111940.2888,8665984.7862,15799846.1288,13148282.4101,6886432.5143,8578543.5795,10026284.2005,11445269.6367,12327008.2744,14762786.2504,13612326.0578,14930113.8464,13754104.7284,16326589.3478,14708617.8971,10915552.4271,24415100.835
