"기간","자치구","동","한식.음식점업","용달.및.개별.화물.자동차.운송업","부동산.중개.및.대리업","의복소매업","생맥주.전문점.및.기타.주점업","두발미용업","슈퍼마켓.및.기타.음.식료품.위주.종합.소매업","김밥.및.기타.간이.음식점.및.간이음식.포장.판매업","커피.전문점.및.기타.비알콜.음료점업","가정용.세탁업","노래연습장.운영업","체인화.편의점","치킨전문점","자동차.전문.수리업","채소.과실.및.뿌리작물.소매업","육류소매업","중식음식점업","당구장.운영업","제과점업","컴퓨터.게임방.운영업"
2018,"금천구","소계","4,194","1,634","1,030","2,463","817","660","765","685","1,234","246","295","1,080","363","347","186","254","636","129","308","213"
2018,"영등포구","소계","10,186","2,390","1,353","2,474","1,676","1,248","1,384","1,121","3,282","442","555","2,106","594","531","285","276","2,089","201","823","269"
2018,"동작구","소계","4,300","1,060","1,330","613","1,206","1,071","1,186","980","1,756","391","326","1,515","550","168","279","263","566","140","623","332"
2018,"관악구","소계","6,065","1,980","1,927","1,326","1,901","1,628","1,429","1,153","2,050","493","501","2,066","762","312","314","359","720","177","620","531"
2018,"서초구","소계","11,477","586","2,523","3,200","1,725","1,807","1,371","1,741","4,455","506","512","2,078","687","677","116","210","1,486","213","1,607","278"
2018,"강남구","소계","18,936","924","6,148","6,502","2,942","6,729","1,908","2,295","7,746","681","592","3,628","1,173","841","223","339","2,460","321","2,289","481"
2018,"송파구","소계","10,418","3,007","3,075","4,064","1,943","2,270","2,053","1,994","3,617","667","898","2,188","1,038","769","284","417","1,184","247","1,276","437"
2018,"강동구","소계","5,729","2,297","1,603","1,635","1,485","1,381","1,195","1,079","1,701","458","377","1,419","488","467","352","354","482","216","775","390"
2019,"종로구","소계","9,212","803","889","1,337","1,771","480","894","1,218","4,369","186","225","1,281","479","86","132","122","1,033","177","759","211"
2019,"중구","소계","10,207","1,582","7,922","8,129","2,175","1,838","2,330","5,354","4,197","402","1,694","1,877","517","318","407","1,546","1,564","1,150","1,064","104"
2019,"용산구","소계","4,785","591","1,214","1,515","1,508","777","823","866","2,397","217","161","1,135","348","230","115","153","626","59","777","106"
2019,"성동구","소계","4,937","1,442","1,453","952","781","851","791","717","2,020","300","240","1,224","421","986","120","240","548","129","499","224"
2019,"광진구","소계","5,288","1,294","1,313","1,019","1,799","1,337","1,023","1,031","2,113","426","525","1,584","550","226","220","265","811","169","627","368"
2019,"동대문구","소계","5,840","1,754","1,208","1,460","1,222","891","1,268","892","1,702","410","295","1,501","598","490","1,048","434","632","156","554","340"
2019,"중랑구","소계","4,696","2,798","1,104","1,080","1,186","1,108","1,043","842","1,124","372","487","1,267","544","325","302","330","370","183","360","295"
2019,"성북구","소계","4,820","1,642","1,175","1,032","1,145","1,245","1,194","1,011","1,917","418","244","1,412","583","279","204","366","538","127","626","323"
2019,"강북구","소계","4,514","1,301","867","815","1,334","997","896","663","1,198","316","414","1,063","415","274","235","245","378","154","380","292"
2019,"도봉구","소계","3,443","1,915","794","679","585","847","846","639","901","336","266","950","480","367","215","236","292","142","411","221"
2019,"노원구","소계","5,150","2,287","1,053","1,883","1,030","1,353","1,307","1,082","1,974","414","424","1,467","795","293","207","269","560","177","756","373"
2019,"은평구","소계","5,146","1,998","1,614","1,271","1,104","1,443","1,189","923","1,521","385","311","1,462","599","259","338","372","564","189","676","243"
2019,"서대문구","소계","4,335","1,110","956","699","1,223","1,185","1,022","921","2,087","262","220","1,302","515","183","200","230","674","125","610","223"
2019,"마포구","소계","8,875","1,116","1,903","2,221","2,874","2,042","1,210","1,457","5,036","470","372","1,869","739","216","299","224","1,330","149","1,213","247"
2019,"양천구","소계","4,558","2,004","1,364","1,333","997","1,428","1,234","998","1,657","401","391","1,281","607","395","291","335","464","156","648","297"
2019,"강서구","소계","8,003","2,758","2,352","1,980","1,889","1,751","1,367","1,479","2,930","663","503","2,259","819","770","301","412","887","255","918","439"
2019,"구로구","소계","5,581","1,945","1,213","1,135","1,361","1,134","1,382","1,067","1,622","446","519","1,469","646","396","291","321","1,129","175","530","291"
2019,"금천구","소계","4,217","1,722","1,381","1,946","778","715","705","717","1,286","252","282","1,060","376","395","197","248","626","125","294","205"
2019,"영등포구","소계","9,857","2,478","1,566","2,279","1,805","1,261","1,286","1,192","3,631","428","561","2,050","613","523","288","309","2,103","194","799","256"
2019,"동작구","소계","4,296","1,144","1,483","529","1,205","1,105","1,088","883","1,863","401","297","1,439","610","177","305","249","575","128","580","349"
2019,"관악구","소계","6,140","2,044","2,136","1,259","1,990","1,604","1,392","1,137","2,186","533","480","2,078","743","291","332","396","741","163","582","527"
2019,"서초구","소계","10,547","753","2,758","2,697","1,532","1,832","1,177","1,613","4,398","475","453","1,750","679","808","134","237","1,323","225","1,358","201"
2019,"강남구","소계","18,906","923","6,508","6,278","3,024","6,255","1,690","2,293","8,407","707","541","3,281","1,119","869","193","356","2,561","267","2,295","519"
2019,"송파구","소계","10,268","2,941","3,190","3,905","1,767","2,328","1,992","1,955","3,933","703","811","2,261","1,053","842","301","413","1,243","242","1,305","463"
2019,"강동구","소계","5,863","2,106","1,990","1,665","1,429","1,429","1,254","1,123","1,852","478","341","1,395","583","454","370","366","561","207","803","370"
