"Date","PPI"
"2018.04",103.04
"2018.05",103.34
"2018.06",103.37
"2018.07",103.85
"2018.08",104.32
"2018.09",104.62
"2018.10",104.26
"2018.11",103.53
"2018.12",103.03
"2019.01",102.92
"2019.02",103.02
"2019.03",103.38
"2019.04",103.68
"2019.05",103.79
"2019.06",103.5
"2019.07",103.5
"2019.08",103.74
"2019.09",103.8
"2019.10",103.56
"2019.11",103.41
"2019.12",103.7
"2020.01",104.08
"2020.02",103.74
"2020.03",102.82
"2020.04",101.93
"2020.05",101.96
"2020.06",102.48
"2020.07",102.71
"2020.08",103.22
"2020.09",103.42
"2020.10",103.01
"2020.11",103.09
"2020.12",103.9
"2021.01",105.05
"2021.02",105.91
"2021.03",107.04
"2021.04",108.06
"2021.05",108.65
"2021.06",109.22
"2021.07",110.28
"2021.08",110.86
"2021.09",111.27
"2021.10",112.21
