"기간","쌀","돼지고기","쇠고기.국산.","우유","라면","스낵과자","달걀","닭고기","두부","마른멸치","고등어","파","참기름","맛김","콩나물","탄산음료","밀가루","전기료","도시가스","휘발유"
1998.01,74.604,38.431,32.391,43.59,55.253,41.6,54.184,66.415,56.222,39.75,46.478,46.604,68.142,44.415,59.676,46.007,59.655,86.899,44.404,67.726
1998.02,75.592,40.584,32.234,47.645,58.652,41.6,50.97,71.303,56.222,40.7,50.994,40.446,68.281,46.172,65.763,46.477,63.847,88.78,45.934,71.614
1998.03,75.531,42.114,31.622,47.718,60.77,41.6,50.696,78.947,56.222,42.657,34.368,34.828,68.903,46.129,60.026,48.08,63.196,92.622,49.024,62.48
1998.04,75.531,41.976,32.169,47.83,61.652,41.6,46.191,68.484,56.222,43.496,29.503,38.677,68.419,46.129,59.277,51.172,61.184,92.622,48.994,62.48
1998.05,75.654,42.045,32.324,47.794,61.652,41.6,40.667,69.862,60.153,42.937,31.49,40.717,68.212,46.129,64.716,52.071,55.859,92.622,48.994,62.373
1998.06,76.21,41.419,32.171,47.533,60.329,41.6,41.489,67.356,60.153,41.93,36.998,34.713,68.212,46.129,66.063,52.11,54.047,92.622,48.994,65.335
1998.07,78.496,41.245,31.532,45.152,59.049,41.6,40.392,71.742,59.597,40.756,32.805,29.979,68.212,46.129,66.412,52.071,54.018,92.622,48.994,65.299
1998.08,81.891,40.584,29.107,44.706,58.961,41.6,44.349,65.852,59.597,37.457,35.435,36.638,68.004,46.129,66.612,51.797,53.31,92.622,48.994,65.192
1998.09,82.324,40.203,29.438,44.706,58.916,41.6,48.385,64.223,59.597,36.061,34.393,47.566,67.381,45.689,70.205,51.366,53.678,92.622,48.837,67.761
1998.1,80.966,38.639,29.8,44.706,58.872,41.6,46.74,66.667,59.597,37.29,33.872,46.566,67.312,45.601,72.449,51.172,53.735,92.622,48.776,72.935
1998.11,80.595,37.179,29.941,44.706,58.739,41.6,44.819,70.113,59.597,37.905,40.174,45.912,67.312,45.601,72.449,50.937,53.877,92.622,47.246,72.65
1998.12,81.027,37.076,30.238,44.706,58.739,41.6,46.504,71.742,59.597,39.861,46.701,42.91,67.451,45.601,72.449,50.937,53.253,92.622,46.495,72.007
1999.01,81.027,37.701,30.57,44.706,58.784,41.6,46.583,71.178,59.597,39.918,48.809,46.566,67.451,45.601,71.901,50.937,52.262,92.622,46.495,70.258
1999.02,81.15,38.153,32.551,44.706,58.784,40.944,51.323,75.063,59.597,40.923,51.589,57.38,67.451,45.821,71.302,50.624,49.968,92.622,45.621,69.938
1999.03,81.459,38.431,32.565,44.706,57.769,40.944,49.835,76.817,59.597,40.7,52.904,64.807,67.657,45.821,70.554,51.054,46.031,92.622,45.621,69.938
1999.04,82.016,38.848,32.776,44.706,57.769,40.944,50.579,80.953,59.597,40.309,56.75,55.072,67.657,45.821,70.554,51.328,46.031,92.622,45.621,71.435
1999.05,82.819,40.376,33.55,44.223,57.769,40.944,48.15,69.987,59.597,38.408,54.691,36.213,66.827,45.821,69.905,50.741,46.031,92.622,43.186,71.435
1999.06,83.807,40.863,34.033,44.223,57.769,40.85,43.096,60.965,59.597,36.563,47.444,30.017,66.621,45.821,70.304,50.545,45.917,92.622,43.186,71.435
1999.07,85.165,41.141,34.235,44.223,57.769,40.85,40.862,66.165,59.597,35.109,44.939,30.634,66.621,45.821,70.155,51.093,45.605,92.622,43.186,71.435
1999.08,85.968,42.808,37.034,44.223,57.769,40.85,41.294,71.491,59.597,34.494,52.483,62.383,66.621,45.821,70.155,51.093,45.605,92.622,43.186,71.972
1999.09,86.277,44.026,39.591,44.223,57.681,40.85,45.29,58.897,59.597,35.333,51.168,59.497,66.621,45.821,70.155,51.054,45.35,92.622,43.186,73.184
1999.1,86.523,44.789,40.749,44.223,57.769,40.85,41.097,54.762,59.597,35.668,49.107,54.263,66.205,45.821,70.155,50.976,45.237,92.622,43.186,74.969
