"월간","경상수지"
"2006.07",-698.4
"2006.08",-1540.5
"2006.09",3088.4
"2006.10",2688.4
"2006.11",4455.8
"2006.12",332.4
"2007.01",214.1
"2007.02",-729
"2007.03",-1160.4
"2007.04",-2240.6
"2007.05",-2295.3
"2007.06",1581.5
"2007.07",2569.3
"2007.08",2223.4
"2007.09",4312.6
"2007.10",1914.3
"2007.11",3260.2
"2007.12",822.4
"2008.01",-688.7
"2008.02",-2235.2
"2008.03",972.5
"2008.04",-2386.5
"2008.05",-1737.8
"2008.06",-1143
"2008.07",-2261.7
"2008.08",-3845
"2008.09",1469
"2008.10",3904.5
"2008.11",2761.1
"2008.12",6943.8
"2009.01",175.8
"2009.02",5013
"2009.03",5786
"2009.04",3139.2
"2009.05",2329.4
"2009.06",4064.7
"2009.07",1987.7
"2009.08",1169.6
"2009.09",2197.6
"2009.10",2512.2
"2009.11",3013.8
"2009.12",1698.6
"2010.01",-1776.4
"2010.02",-322.4
"2010.03",917.1
"2010.04",796.9
"2010.05",6650.4
"2010.06",3751.1
"2010.07",3549.3
"2010.08",3758.1
"2010.09",4207.4
"2010.10",4265.4
"2010.11",3897.5
"2010.12",-1743.9
"2011.01",-3159.6
"2011.02",1344.9
"2011.03",-2438.3
"2011.04",-2545.2
"2011.05",-1247.2
"2011.06",1321.8
"2011.07",3938.8
"2011.08",4470.5
"2011.09",2996.3
"2011.10",3572.4
"2011.11",6645.7
"2011.12",1738.1
"2012.01",-2288
"2012.02",-2584
"2012.03",3580
"2012.04",-144.8
"2012.05",5015.8
"2012.06",6069.3
"2012.07",8375.5
"2012.08",1618
"2012.09",6484.3
"2012.10",7287.6
"2012.11",8187.5
"2012.12",7189.4
"2013.01",2752.4
"2013.02",2212.5
"2013.03",6740.2
"2013.04",5039.9
"2013.05",9608.2
"2013.06",6824.8
"2013.07",6964.6
"2013.08",6389.3
"2013.09",7847.7
"2013.10",10724
"2013.11",5891.6
"2013.12",6263.7
"2014.01",1837.7
"2014.02",4812.5
"2014.03",6182.8
"2014.04",6875.5
"2014.05",9148.3
"2014.06",7768.8
