"¿ù°£","WTI","Dubai","Brent","±Ý"
"2007.02",61.79,58.59,60.66,669.35
"2007.03",65.87,63.12,68.42,663.79
"2007.04",65.71,64.82,66.99,678.45
"2007.05",64.01,63.05,68.45,660.5
"2007.06",70.68,66.42,72.82,649.65
"2007.07",78.21,69.44,77.82,664.3
"2007.08",74.04,67.72,72.06,673.4
"2007.09",81.66,76.64,79.4,743.6
"2007.10",94.53,81.24,90.29,796.59
"2007.11",88.71,83.9,88.64,783.75
"2007.12",96,89.06,93.89,833.92
"2008.01",91.75,87.18,92.56,925.99
"2008.02",101.84,94.38,100.15,974.17
"2008.03",101.58,97.81,100.22,916.88
"2008.04",113.46,106.28,110.61,877.55
"2008.05",127.35,119.91,127.08,886.5
"2008.06",140,136.65,139.3,925.4
"2008.07",124.08,123.46,123.24,914.07
"2008.08",115.46,109.87,111.98,831.15
"2008.09",100.64,90.6,97.44,870.95
"2008.10",67.81,55.11,64.4,724.55
"2008.11",54.43,49.58,51.73,818.05
"2008.12",44.6,37.02,41.76,882.05
"2009.01",41.68,44.86,44.94,927.85
"2009.02",44.76,44.51,44.91,942.35
"2009.03",49.66,47.32,47.74,919.145
"2009.04",51.12,49.86,49.1,888.2
"2009.05",66.31,64.09,64.98,979.15
"2009.06",69.89,71.93,68.34,926.6
"2009.07",69.45,67.24,70.88,954
"2009.08",69.96,69.42,68.76,951.25
"2009.09",70.61,65.8,67.67,1007.7
"2009.10",77,77.5,74.4,1045.4
"2009.11",77.28,77.38,77.91,1179.6
"2009.12",79.36,78.29,77.2,1096.95
"2010.01",72.89,71.84,70.46,1080.85
"2010.02",79.66,74.33,76.68,1117.6
"2010.03",83.76,79.05,81.3,1113.25
"2010.04",86.15,85.65,85.99,1179.2
"2010.05",73.97,73.28,73.74,1216.2
"2010.06",75.63,73.24,73.87,1242.25
"2010.07",78.95,73.74,78.28,1181
"2010.08",71.92,72.99,74.31,1247.45
"2010.09",79.97,77.32,81.42,1308.35
"2010.10",81.43,80.02,82.63,1359.4
"2010.11",84.11,84.83,84.91,1386.02
"2010.12",91.38,88.54,94.3,1420.78
"2011.01",92.19,94.07,99.78,1332.8
"2011.02",96.97,107.97,111.94,1411.48
"2011.03",106.72,109.47,117.25,1432.3
"2011.04",113.93,118.65,126.06,1563.7
"2011.05",102.7,109.39,116.73,1535.8
"2011.06",95.42,106.33,111.68,1500.35
"2011.07",95.7,111.09,116.81,1627.88
"2011.08",88.81,109.47,115.21,1825.72
"2011.09",79.2,100.93,104.26,1623.97
"2011.10",93.19,105.6,109.52,1714.85
"2011.11",100.36,108.9,111.32,1746.38
"2011.12",98.83,104.84,107.58,1563.7
"2012.01",98.48,109.46,110.77,1737.6
"2012.02",107.07,120.5,123.9,1696.85
"2012.03",103.02,120.17,123.81,1668.35
"2012.04",104.87,116.05,119.67,1664.75
"2012.05",86.53,101.8,102.08,1560.43
"2012.06",84.96,92.75,97,1597.4
"2012.07",88.06,102.44,105.94,1614.3
"2012.08",96.47,110.47,115.46,1692.01
"2012.09",92.19,110.84,113.25,1772.1
"2012.10",86.24,106.83,109.41,1720.65
"2012.11",88.91,107.92,112.01,1714.8
"2012.12",91.82,106.67,111.94,1675.35
"2013.01",97.49,110.46,116.54,1663.65
"2013.02",92.05,107.23,111.66,1579.58
"2013.03",97.23,106.83,109.27,1598.75
"2013.04",93.46,101.61,101.81,1476.75
"2013.05",91.97,98.57,100.03,1387.92
